"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","","","",""
"PHM","College Total","1906","3.281","34.7","22.2","22.3","10.9","6.7","0.4","",".","0.7","",".","1.6",".","0.5","",".",".",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"PHM","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","501","3.107","19.8","20.8","36.3","13.6","9.0","0.6","",".",".","",".",".",".",".","",".",".",".","."
"Junior","","366","3.564","49.2","25.4","15.3","3.0","2.2",".","",".",".","",".","4.9",".",".","",".",".",".","."
"Senior","","141","3.424","39.0","21.3","25.5","6.4","6.4","0.7","",".",".","",".","0.7",".",".","",".",".",".","."
"Undergraduates","","1009","3.297","33.2","22.5","27.2","8.7","6.1","0.4","",".",".","",".","1.9",".",".","",".",".",".","."
"Special","","29","3.000","20.7","13.8","24.1","31.0","6.9","3.4","",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","128","3.977","78.1","3.9","0.8",".",".",".","",".","10.2","",".",".",".","7.0","",".",".",".","."
"Prof Yr 1","","614","3.061","25.9","24.4","21.5","17.6","9.9","0.3","",".",".","",".","0.3",".",".","",".",".",".","."
"Prof Yr 3","","69","3.422","33.3","36.2","11.6","2.9","4.3","1.4","",".",".","",".","10.1",".",".","",".",".",".","."
"Prof Yr 4","","57","3.842","66.7","22.8","5.3",".",".",".","",".",".","",".","5.3",".",".","",".",".",".","."
"Professionals","","740","3.174","29.7","25.4","19.3","14.9","8.6","0.4","",".",".","",".","1.6",".",".","",".",".",".","."
"","College Total","1906","3.281","34.7","22.2","22.3","10.9","6.7","0.4","",".","0.7","",".","1.6",".","0.5","",".",".",".","."
