"L&S","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"COM ARTS
250","Dept. Total","3217","3.214","24.7","27.0","26.3","10.6","5.8","1.3","1.2","2.4","0.1","0.2","",".","0.2","0.1","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","551","3.031","11.4","30.9","33.9","12.7","6.9","1.8","2.4",".",".",".","",".",".",".",".",".","."
"Sophomore","","755","3.216","21.5","31.5","29.8","9.5","5.6","1.3","0.7",".",".",".","",".",".",".","0.1",".","."
"Junior","","834","3.188","24.5","29.0","23.9","11.0","7.8","1.6","1.4","0.4",".","0.1","",".",".","0.2","0.1",".","."
"Senior","","849","3.246","28.9","23.4","27.0","12.1","4.9","0.9","0.9","0.7",".","0.8","",".",".",".","0.2",".","."
"Undergraduates","","2989","3.183","22.5","28.4","28.1","11.3","6.3","1.4","1.3","0.3",".","0.3","",".",".","0.1","0.1",".","."
"Special","","24","3.382","29.2","29.2","20.8","12.5","4.2",".",".","4.2",".",".","",".",".",".",".",".","."
"Graduate","","204","3.918","54.9","6.9","1.0","0.5",".",".",".","32.8","1.0",".","",".","2.5","0.5",".",".","."
"","Dept. Total","3217","3.214","24.7","27.0","26.3","10.6","5.8","1.3","1.2","2.4","0.1","0.2","",".","0.2","0.1","0.1",".","."
