"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"","349
002","","18","2.944","5.6","16.7","38.9","38.9",".",".",".",".",".",".",".",".",".",".",".","."
"","349
003","","16","3.188","12.5","37.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","349
004","","16","3.031","12.5","25.0","18.8","43.8",".",".",".",".",".",".",".",".",".",".",".","."
"","005
349","","16","3.500","31.3","50.0","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","","83","3.169","16.9","26.5","31.3","24.1","1.2",".",".",".",".",".",".",".",".",".",".","."
"Advanced Graphic Analysis","350
001","","16","3.533","37.5","37.5","12.5",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","361
001","","15","2.700","20.0","6.7","20.0","26.7","13.3","13.3",".",".",".",".",".",".",".",".",".","."
"","361
002","","23","2.500","21.7","8.7","17.4","4.3","30.4","8.7","8.7",".",".",".",".",".",".",".",".","."
"","003
361","","23","2.913","26.1","13.0","26.1","13.0","13.0","4.3","4.3",".",".",".",".",".",".",".",".","."
"","361
004","","20","3.350","35.0","25.0","20.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","","81","2.864","25.9","13.6","21.0","13.6","16.0","6.2","3.7",".",".",".",".",".",".",".",".","."
"","001
363","","30","2.883","20.0","13.3","20.0","23.3","20.0","3.3",".",".",".",".",".",".",".",".",".","."
"","363
002","","34","3.000","20.6","20.6","32.4","8.8","8.8","8.8",".",".",".",".",".",".",".",".",".","."
"","003
363","","28","3.036","17.9","7.1","46.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","","92","2.973","19.6","14.1","32.6","17.4","12.0","4.3",".",".",".",".",".",".",".",".",".","."
"","364
001","","10","2.400","10.0",".","20.0","40.0","20.0",".","10.0",".",".",".",".",".",".",".",".","."
"","364
002","","27","2.926","14.8","25.9","14.8","25.9","14.8","3.7",".",".",".",".",".",".",".",".",".","."
"","364
003","","19","2.605","21.1","5.3","10.5","21.1","31.6","10.5",".",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","","56","2.723","16.1","14.3","14.3","26.8","21.4","5.4","1.8",".",".",".",".",".",".",".",".","."
"Engr Measurements Lab","368
001","","63","3.230","23.8","20.6","36.5","15.9","3.2",".",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","","81","2.802","12.3","8.6","32.1","23.5","22.2","1.2",".",".",".",".",".",".",".",".",".","."
"Mechanical Dissection","379
001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Polymer Processing","417
001","","29","3.375","51.7","17.2","10.3","6.9","3.4","3.4","3.4","3.4",".",".",".",".",".",".",".","."
"","418
001","","33","3.424","39.4","18.2","30.3","12.1",".",".",".",".",".",".",".",".",".",".",".","."
"","418
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","","35","3.443","40.0","20.0","28.6","11.4",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","","24","3.636","41.7","37.5","8.3","4.2",".",".",".","8.3",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Weld Proc&Matrl Selectn","437
001","","31","3.533","32.3","38.7","25.8",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"Introduction to Robotics","439
001","","15","3.346","20.0","33.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".","13.3","."
"","447
001","","34","3.176","26.5","32.4","23.5","8.8",".","5.9","2.9",".",".",".",".",".",".",".",".","."
"","447
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Comptr Cntrl-Machns&Process","Course Total","","38","3.237","28.9","34.2","21.1","7.9",".","5.3","2.6",".",".",".",".",".",".",".",".","."
"Computer Graphics","001
458","","7","3.286","57.1","14.3",".","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"Thermal Systems Modeling","461
001","","8","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Welding Metallurgy","462
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Air Pollutn-Measure&Control","466
001","","9","3.000","22.2","22.2","22.2",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Bldg Energy Mgmt&Space Cond","468
001","","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","491
006","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","491
026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","050
491","","15","3.647","73.3","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","23","3.560","56.5","17.4","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 134 of 383",""
