"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","14","3.462","35.7","28.6","21.4",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"","101
004","17","3.214","23.5","35.3","5.9","11.8",".",".","5.9","17.6",".",".",".",".",".",".",".","."
"","006
101","21","3.250","42.9","28.6","4.8","9.5",".",".","9.5","4.8",".",".",".",".",".",".",".","."
"","101
008","20","3.342","40.0","25.0","10.0",".","20.0",".",".","5.0",".",".",".",".",".",".",".","."
"","101
010","16","3.733","43.8","50.0",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","101
012","18","3.528","44.4","33.3","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","101
013","16","3.538","62.5",".","12.5",".",".",".","6.3","12.5",".",".",".",".",".",".","6.3","."
"First Semester French","Course Total","122","3.429","41.8","28.7","9.0","4.1","4.9",".","3.3","7.4",".",".",".",".",".",".","0.8","."
"","102
001","16","3.500","50.0","25.0","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","102
003","22","3.250","9.1","40.9","45.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","004
102","18","3.417","22.2","61.1",".","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","102
005","14","3.500","35.7","50.0",".","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","102
006","25","3.174","24.0","24.0","20.0","16.0","4.0","4.0",".","8.0",".",".",".",".",".",".",".","."
"","102
008","21","3.286","19.0","42.9","19.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","102
010","21","3.105","9.5","42.9","23.8","4.8","4.8",".","4.8","9.5",".",".",".",".",".",".",".","."
"","102
011","10","3.300","40.0","10.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"","012
102","23","2.886","17.4","30.4","13.0","8.7","17.4","4.3","4.3","4.3",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","170","3.245","22.9","37.1","17.6","10.6","6.5","1.2","1.2","2.9",".",".",".",".",".",".",".","."
"Second Sem French Honors","182
001","12","3.542","41.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","203
003","15","3.167","6.7","40.0","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","203
004","17","3.324","23.5","29.4","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","006
203","18","3.389","38.9","27.8","16.7","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"","203
008","16","2.750","12.5","31.3","6.3","18.8","25.0",".","6.3",".",".",".",".",".",".",".",".","."
"","009
203","9","3.333","22.2","33.3","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","010
203","15","3.133","26.7","40.0","13.3",".","6.7","13.3",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","95","3.205","23.2","34.7","22.1","8.4","8.4","2.1","1.1",".",".",".",".",".",".",".",".","."
"","204
002","20","3.175","30.0","25.0","25.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","004
204","16","3.250","43.8","31.3","6.3","6.3",".","6.3","6.3",".",".",".",".",".",".",".",".","."
"","006
204","19","3.222","26.3","31.6","21.1","10.5",".",".","5.3","5.3",".",".",".",".",".",".",".","."
"","204
007","22","3.477","36.4","27.3","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","009
204","19","3.658","57.9","21.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","204
011","22","3.227","31.8","31.8","13.6","13.6","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","118","3.338","37.3","28.0","19.5","8.5","1.7","0.8","3.4","0.8",".",".",".",".",".",".",".","."
"","227
001","9","3.389","55.6","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","227
002","16","3.219","18.8","31.3","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","227
003","13","3.615","53.8","30.8","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","38","3.395","39.5","31.6","15.8","5.3","5.3",".","2.6",".",".",".",".",".",".",".",".","."
"","228
001","22","3.640","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","21","3.436","19.0","47.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
004","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","66","3.678","51.5","31.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001","15","3.567","66.7","20.0","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","002
271","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
271","11","3.182","27.3","27.3","27.3","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 208 of 383",""
