"TERM : 0984","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 1997-98","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUD Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","","",""
"L I S
Dept. Total
544","425","3.749","58.8","28.7","8.2","0.9","0.2","",".","",".","1.9","",".",".","",".","",".","0.5","0.7",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","3.000",".",".","100.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","3","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","4","3.375",".","75.0","25.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","16","3.536","37.5","25.0","18.8","6.3",".","",".","",".","6.3","",".",".","",".","",".",".","6.3",".","."
"Graduate","405","3.760","60.2","28.4","7.7","0.7","0.2","",".","",".","1.7","",".",".","",".","",".","0.5","0.5",".","."
"Dept. Total","425","3.749","58.8","28.7","8.2","0.9","0.2","",".","",".","1.9","",".",".","",".","",".","0.5","0.7",".","."
