"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"","340","004","","31","2.855","12.9","32.3","9.7","16.1","22.6","6.5",".",".",".",".",".",".",".",".",".","."
"","340","005","","30","2.267","13.3","10.0","6.7","30.0","16.7","10.0","13.3",".",".",".",".",".",".",".",".","."
"","340","006","","12","3.292","33.3","33.3","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"","340","007","","34","2.382","17.6",".","17.6","5.9","47.1","5.9","5.9",".",".",".",".",".",".",".",".","."
"","340","009","","32","2.656","21.9","15.6","12.5","15.6","15.6","15.6","3.1",".",".",".",".",".",".",".",".","."
"","340","010","","30","2.583","20.0",".","30.0","3.3","36.7","6.7","3.3",".",".",".",".",".",".",".",".","."
"","340","011","","25","2.880","44.0",".","20.0",".","20.0","12.0","4.0",".",".",".",".",".",".",".",".","."
"Elem Matrix&Linear Algebra","","Course Total","","284","2.701","21.8","12.3","19.0","8.8","25.7","9.2","3.2",".",".",".",".",".",".",".",".","."
"Basic Concepts of Math","371","001","","23","2.977","21.7","21.7","34.8",".","8.7",".","8.7",".",".",".",".",".",".","4.3",".","."
"","431","001","","23","2.761","21.7","13.0","13.0","26.1","17.4","4.3","4.3",".",".",".",".",".",".",".",".","."
"","431","002","","24","3.146","41.7","4.2","25.0",".","29.2",".",".",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","","Course Total","","47","2.957","31.9","8.5","19.1","12.8","23.4","2.1","2.1",".",".",".",".",".",".",".",".","."
"Intro to Modern Algebra","441","001","","9","3.333","33.3","11.1","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"College Geometry I","461","001","","13","2.808","23.1","7.7","23.1",".","46.2",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475","001","","17","3.324","52.9","11.8","11.8","17.6",".",".","5.9",".",".",".",".",".",".",".",".","."
"Topics in Undergrad Math","491","001","","16","3.167","31.3","12.5","12.5","31.3","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"Numerical Analysis","514","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","521","001","","8","2.688","12.5",".","50.0","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"","521","002","","12","2.950",".","16.7","50.0","8.3","8.3",".",".","16.7",".",".",".",".",".",".",".","."
"Advanced Calculus","","Course Total","","20","2.833","5.0","10.0","50.0","10.0","10.0","5.0",".","10.0",".",".",".",".",".",".",".","."
"Advanced Calculus","522","001","","9","3.333","33.3","22.2","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","9","3.611","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Algebra","541","001","","23","2.429","8.7","13.0","8.7","13.0","34.8","13.0",".",".",".",".",".",".",".","8.7",".","."
"Modern Algebra","542","001","","12","3.375","41.7","16.7","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Topology","551","001","","20","3.000","40.0","15.0","15.0","5.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"Elementary Number Theory","567","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Logic","571","001","","19","2.917","36.8","5.3","10.5","10.5","26.3",".","5.3",".",".",".",".",".",".","5.3",".","."
"Intro-Measure & Integration","629","001","","8","3.125","37.5","25.0","25.0",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","13","3.269","46.2","23.1",".","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"Undergraduate Thesis","692","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods of Applied Math-2","704","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Fluid Dynamics","705","001","","11","4.000","81.8",".",".",".",".",".",".","9.1",".",".",".",".",".",".","9.1","."
"Finite Difference Methods","712","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"Complex Analysis","722","001","","11","3.636","54.5","36.4",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Secnd Crse in Real Analysis","725","001","","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Abstract Algebra","742","001","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rings and Modules","746","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology II","752","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Algebraic Topology II","754","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Algebraic Geometry","764","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
