"","202
002","","5","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"The Air Force Way II","Course Total","","16","3.813","68.8","25.0","6.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Air Force Leadership&Mgt II","304
001","","9","3.889","77.8","22.2",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Preparation-Active Duty II","402
001","","7","4.000","100.0",".",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"A F AERO
102","Dept. Total","","46","3.859","71.7","19.6","6.5","2.2","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","7","3.357","28.6","28.6","28.6","14.3","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","19","3.842","73.7","21.1","5.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","11","3.889","81.8","18.2",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","8","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","45","3.864","73.3","17.8","6.7","2.2","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","3.500",".","100.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","46","3.859","71.7","19.6","6.5","2.2","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
