"MILITARY SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","",""
"","102
001","28","3.804","75.0","14.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","27","3.852","85.2",".","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Military Leadershp","Course Total","86","3.884","86.0","5.8","7.0","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Marksmanship","150
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Orienteering","194
001","10","3.889","80.0",".","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"","202
001","33","3.833","78.8","15.2","3.0",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"","002
202","37","3.797","70.3","18.9","10.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
003","32","3.766","68.8","21.9","6.3",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"Fundamntls-Military Tactics","Course Total","102","3.799","72.5","18.6","6.9",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","332
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
332","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Military Tactics","Course Total","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Leadship,Mgmt&Legl Oper","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
