"","990
017","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
018","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research or Thesis","Course Total","29","4.000","75.9",".",".",".",".",".",".","3.4","",".",".","",".","20.7",".",".",".","."
"Independent Reading","999
018","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"RP & SE
194","Dept. Total","802","3.813","74.4","15.2","5.5","1.2","1.1","0.2","0.4","0.6","",".",".","",".","1.0","0.1",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","46","3.682","71.7","19.6","4.3",".",".",".","4.3",".","",".",".","",".",".",".",".",".","."
"Sophomore","","114","3.745","71.9","13.2","11.4","1.8","0.9","0.9",".",".","",".",".","",".",".",".",".",".","."
"Junior","","134","3.810","76.1","16.4","3.7","1.5","2.2",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","","238","3.814","71.8","16.0","6.3","2.1","1.7","0.4",".","1.7","",".",".","",".",".",".",".",".","."
"Undergraduates","","532","3.790","72.9","15.8","6.6","1.7","1.5","0.4","0.4","0.8","",".",".","",".",".",".",".",".","."
"Special","","22","3.650","63.6","27.3",".",".",".",".","4.5",".","",".",".","",".",".",".",".","4.5","."
"Graduate","","248","3.883","78.6","12.9","3.6","0.4","0.4",".",".","0.4","",".",".","",".","3.2","0.4",".",".","."
"","Dept. Total","802","3.813","74.4","15.2","5.5","1.2","1.1","0.2","0.4","0.6","",".",".","",".","1.0","0.1",".","0.1","."
