"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"201
Survey of Biochemistry","001","","88","2.824","26.1","9.1","21.6","14.8","17.0","10.2","1.1",".",".",".",".",".",".",".",".","."
"289
Honors Independent Study","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","3.900","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"501
Introduction-Biochemistry","001","","231","3.066","21.6","12.6","38.1","11.7","13.0","1.3",".","0.9",".",".",".",".","0.4",".","0.4","."
"508
General Biochemistry II","001","","118","3.068","32.2","9.3","27.1","11.0","16.1","1.7","1.7",".",".",".",".",".",".","0.8",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","17","3.500","29.4","52.9","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"511","001","","23","3.804","69.6","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"511","002","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","Course Total","","44","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Topics in Medical Biochem","001","","43","3.081","23.3","7.0","48.8","9.3","9.3","2.3",".",".",".",".",".",".",".",".",".","."
"602
Biochem Mech-Regulatn/Cell","001","","42","3.415","26.2","33.3","33.3","4.8",".",".",".","2.4",".",".",".",".",".",".",".","."
"603
Eukaryotic Molecular Biol","001","","75","3.097","16.0","20.0","44.0","6.7","6.7","1.3","1.3","2.7",".",".",".",".",".",".",".","1.3"
"625
Coemzymes&Cofactrs-Enzymlgy","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Biochemical Methods","001","","39","3.462","38.5","25.6","25.6","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 13 of 383"
