"","501
001","","6","3.750","66.7","16.7","16.7",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","501
002","","5","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Special Topics","Course Total","","11","3.818","72.7","18.2","9.1",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Research Methods","793
001","","9","3.778","55.6","44.4",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"INTER-HE
498","Dept. Total","","21","3.806","66.7","28.6","4.8",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","6","3.912","83.3","16.7",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","5","3.700","60.0","20.0","20.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","12","3.829","75.0","16.7","8.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","3.500",".","100.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","8","3.813","62.5","37.5",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","21","3.806","66.7","28.6","4.8",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
