"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"","761
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","761
007","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
008","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Ambltry Phmct Care Clrk","Course Total","23","3.789","65.2","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","771
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","771
002","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Conf Rsch Wrkrs-Clin Pharm","Course Total","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Conf:Rsch Workers Hosp Phm","962
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
027","7","3.929","42.9","14.3",".",".",".",".",".",".",".",".",".","42.9",".",".",".","."
"PHM PRAC
728","Dept. Total","951","3.416","41.0","25.4","17.8","7.4","4.3","0.5",".",".",".","3.3",".","0.3",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Sophomore","","115","3.016","17.4","18.3","34.8","18.3","11.3",".",".",".",".",".",".",".",".",".",".","."
"Junior","","341","3.589","48.7","25.8","16.1","2.9","1.2",".",".",".",".","5.3",".",".",".",".",".","."
"Senior","","41","3.616","56.1","19.5","12.2","4.9","2.4","2.4",".",".",".","2.4",".",".",".",".",".","."
"Undergraduates","","497","3.369","42.1","23.5","20.1","6.6","3.6","0.2",".",".",".","3.8",".",".",".",".",".","."
"Special","","28","2.938","17.9","14.3","25.0","32.1","7.1","3.6",".",".",".",".",".",".",".",".",".","."
"Graduate","","16","3.921","62.5","18.8",".",".",".",".",".",".",".",".",".","18.8",".",".",".","."
"Prof Yr 1","","286","3.395","37.4","28.0","17.8","9.1","6.3","0.7",".",".",".","0.7",".",".",".",".",".","."
"Prof Yr 3","","68","3.403","32.4","36.8","11.8","2.9","4.4","1.5",".",".",".","10.3",".",".",".",".",".","."
"Prof Yr 4","","56","3.841","66.1","23.2","5.4",".",".",".",".",".",".","5.4",".",".",".",".",".","."
"Professionals","","410","3.553","40.5","28.8","15.1","6.8","5.1","0.7",".",".",".","2.9",".",".",".",".",".","."
"","Dept. Total","951","3.416","41.0","25.4","17.8","7.4","4.3","0.5",".",".",".","3.3",".","0.3",".",".",".","."
