"BUS","","","","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","","","",""
"","765
003","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","765
004","8","3.750","50.0","50.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Contemporary Topics","Course Total","23","3.644","43.5","39.1","13.0",".",".",".",".",".","",".",".","",".","",".","4.3",".",".","."
"Seminar-Arts Administration","774
001","6","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","799
031","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","056
799","9","3.944","88.9","11.1",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","799
082","14","3.536","21.4","64.3","14.3",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Reading & Rsch-Management","Course Total","27","3.761","48.1","44.4","7.4",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Rsch Meth-Management I","835
001","8","4.000","12.5",".",".",".",".",".",".","87.5",".","",".",".","",".","",".",".",".","."
"","870
001","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","870
002","6","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Smr-Administrative Policy","Course Total","11","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","872
001","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","872
002","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Smr-Org Behavior & Design","Course Total","9","3.222","44.4","22.2","22.2",".",".",".","11.1",".","",".",".","",".","",".",".",".",".","."
"","990
002","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
088","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"PhD Thesis-Management","Course Total","4","***","","","","","","","","","","","","","","","","","","",""
"Read&Rsch-Mgmt&H Resrcs PhD","999
031","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"M H R
236","Dept. Total","1335","3.303","34.2","22.4","26.1","9.3","4.5","1.5","0.3","1.0","",".",".","",".","",".","0.4","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","2.500",".",".",".","100.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","314","3.078","20.7","18.2","34.4","17.2","5.7","2.9","0.6",".","",".",".","",".","",".","0.3",".",".","."
"Senior","","503","3.141","22.9","20.1","34.0","13.1","7.0","2.0","0.4","0.6","",".",".","",".","",".",".",".",".","."
"Undergraduates","","818","3.116","22.0","19.3","34.1","14.8","6.5","2.3","0.5","0.4","",".",".","",".","",".","0.1",".",".","."
"Special","","29","3.447","37.9","31.0","17.2",".","3.4","3.4",".",".","",".",".","",".","",".","6.9",".",".","."
"Graduate","","470","3.690","55.1","26.8","13.0","0.4","1.3",".",".","2.3","",".",".","",".","",".","0.6","0.2",".","0.2"
"Prof Yr 1","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","2","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","15","3.514","40.0","33.3","20.0","6.7",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","18","3.512","38.9","33.3","22.2","5.6",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","1335","3.303","34.2","22.4","26.1","9.3","4.5","1.5","0.3","1.0","",".",".","",".","",".","0.4","0.1",".","0.1"
