"L&S","","","","","","","","","","","","","","","","","","","",""
"AFRICAN LANGUAGES & LITERA Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"AFRICAN
Dept. Total
104","669","3.143","28.4","19.7","21.4","11.4","8.4","2.5","2.4","4.9","0.6",".","",".","0.3","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Freshmen","41","3.066","34.1","14.6","12.2","17.1","17.1","2.4","2.4",".",".",".","",".",".","",".",".",".","."
"Sophomore","155","3.031","22.6","24.5","23.9","11.0","11.0","3.2","3.2","0.6",".",".","",".",".","",".",".",".","."
"Junior","252","3.138","28.2","17.5","25.4","14.7","7.9","1.2","2.4","2.4","0.4",".","",".",".","",".",".",".","."
"Senior","166","3.096","25.3","18.7","19.3","7.8","7.2","4.8","2.4","12.7","1.8",".","",".",".","",".",".",".","."
"Undergraduates","614","3.095","26.4","19.4","22.5","12.1","9.1","2.8","2.6","4.6","0.7",".","",".",".","",".",".",".","."
"Special","1","3.000",".",".","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Graduate","54","3.699","51.9","24.1","7.4","3.7",".",".",".","9.3",".",".","",".","3.7","",".",".",".","."
"Dept. Total","669","3.143","28.4","19.7","21.4","11.4","8.4","2.5","2.4","4.9","0.6",".","",".","0.3","",".",".",".","."
