"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"133
Genetics and Human Affairs","001","","57","2.563","14.0","10.5","17.5","15.8","29.8","7.0","3.5","1.8",".",".",".",".",".",".",".","."
"299","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","088","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"466
General Genetics","001","","139","2.640","17.3","8.6","25.2","21.6","12.2","10.8","4.3",".",".",".",".",".",".",".",".","."
"561
Introductory Cytogenetics","001","","19","3.089","21.1","21.1","21.1","26.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"562
Human Cytogenetics","001","","21","3.429","47.6","14.3","19.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"565
Human Genetics","001","","37","2.472","8.1",".","43.2","5.4","27.0","10.8","2.7","2.7",".",".",".",".",".",".",".","."
"566
Advanced Genetics","001","","48","3.479","33.3","43.8","18.8","2.1",".",".","2.1",".",".",".",".",".",".",".",".","."
"603
Eukaryotic Molecular Biol","001","","26","3.320","23.1","30.8","26.9","15.4",".",".",".","3.8",".",".",".",".",".",".",".","."
"620
Population & Quant Genetics","001","","15","2.967","26.7","6.7","20.0","26.7","20.0",".",".",".",".",".",".",".",".",".",".","."
"677","001","","22","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"677","005","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"677","008","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Genetics","Course Total","","44","3.708","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","3.706","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"951
Seminar in Animal Breeding","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","6","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 27 of 383"
