"GEOLOGY & GEOPHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"100","001","","124","2.587","11.3","12.9","18.5","17.7","28.2","5.6","3.2","1.6",".",".",".",".","0.8",".",".","."
"100","002","","125","2.669","12.8","11.2","25.6","17.6","23.2","7.2","1.6","0.8",".",".",".",".",".",".",".","."
"General Geology","Course Total","","249","2.629","12.0","12.0","22.1","17.7","25.7","6.4","2.4","1.2",".",".",".",".","0.4",".",".","."
"101
General Geology","001","","77","2.753","19.5","10.4","22.1","13.0","28.6","5.2","1.3",".",".",".",".",".",".",".",".","."
"102","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Geology Lab","Course Total","","7","3.083","28.6",".","28.6","14.3","14.3",".",".",".",".",".",".",".",".","14.3",".","."
"105
Survey of Oceanography","001","","29","2.510","17.2","6.9","34.5","13.8","6.9","10.3","10.3",".",".",".",".",".",".",".",".","."
"106
Environmental Geology","001","","108","2.818","20.4","10.2","29.6","3.7","28.7","6.5",".",".",".",".",".",".",".","0.9",".","."
"107
Life of the Past","001","","38","3.118","39.5","10.5","21.1","7.9","15.8","2.6","2.6",".",".",".",".",".",".",".",".","."
"110
Evolution and Extinction","001","","205","2.505","18.5","6.8","20.5","6.8","30.7","11.2","4.9","0.5",".",".",".",".",".",".",".","."
"201
Geologic Evolution of Earth","001","","54","2.587","5.6","7.4","33.3","24.1","14.8","11.1",".","1.9",".",".",".",".",".",".","1.9","."
"306","001","","210","3.066","6.7","24.3","39.5","17.1","7.6",".","0.5","4.3",".",".",".",".",".",".",".","."
"306","002","","37","3.339","24.3","24.3","37.8","8.1","5.4",".",".",".",".",".",".",".",".",".",".","."
"Gems and Precious Stones","Course Total","","247","3.112","9.3","24.3","39.3","15.8","7.3",".","0.4","3.6",".",".",".",".",".",".",".","."
"326
Landforms-Topics & Regions","001","","29","3.018","17.2","13.8","31.0","24.1","10.3",".",".",".",".",".",".",".",".","3.4",".","."
"370
Elementary Petrology","001","","33","2.864","18.2","21.2","15.2","18.2","21.2","6.1",".",".",".",".",".",".",".",".",".","."
"376","001","","11","4.000","81.8",".",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"376","002","","7","3.214","28.6","28.6",".","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"376","003","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Geology","Course Total","","35","3.725","80.0","5.7",".","8.6",".",".",".","5.7",".",".",".",".",".",".",".","."
"420
Glacial&Pleistocene Geology","001","","23","2.932","21.7","4.3","30.4","17.4","21.7",".",".","4.3",".",".",".",".",".",".",".","."
"430
Principles of Stratigraphy","001","","26","3.250","19.2","11.5","69.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"457
Conducted Field Trip","001","","20","3.632","50.0","20.0","25.0",".",".",".",".",".",".",".",".",".",".","5.0",".","."
"462
Geologic Hazards","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"544
Evolution of Vertebrates","001","","29","3.250","37.9","6.9","31.0","6.9","13.8",".",".","3.4",".",".",".",".",".",".",".","."
"550
Geological Oceanography","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"592
Applied Geophysics II","001","","10","3.200","10.0","40.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"629
Contaminant Hydrogeology","001","","31","2.984","12.9","25.8","32.3","16.1","6.5","6.5",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 214 of 383",""
