"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CENTRAL ASIAN STUDIES","Section","","#","Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"218
CEN ASIA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Second Semester Turkish","327","001","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Intensive Kazakh II","366","001","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Adv Readng-Turkic Languages","550","001","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799","002","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Turkic Philology","950","001","3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"CEN ASIA
218","","Dept. Total","8","4.000","75.0","",".","",".",".","",".","",".","",".","25.0","",".",".",".",".",".",".",".","."
