"LAFOLLETTE SCHOOL PUB AFF Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","",""
"548
001
Economics of Health Care","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"799
002
Independent Reading","3","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"819
001
Quant Methods-Public Policy","20","3.150","20.0","30.0","20.0","20.0","10.0",".","",".",".",".","",".",".","",".","",".","",".",".","."
"827
001
Administrative Internship","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"869
001
Intro to Policy Analysis","20","3.525","30.0","45.0","25.0",".",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"876
001
Federlsm&Intgov Policy-U S","16","3.875","81.3","12.5","6.3",".",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"881
001
Benefit-Cost Analysis","23","3.614","43.5","34.8","13.0","4.3",".",".","",".","4.3",".","",".",".","",".","",".","",".",".","."
"882
001
Pub Assistance Policy&Mgmt","10","3.650","40.0","50.0","10.0",".",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"885
001
Advanced Public Management","17","3.588","47.1","23.5","29.4",".",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"958
001
Smr-Rsch in Public Affairs","11","3.455","72.7","9.1",".","9.1",".",".","","9.1",".",".","",".",".","",".","",".","",".",".","."
"974
001
Topics in Public Affairs","21","3.714","47.6","47.6","4.8",".",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"PUB AFFR
Dept. Total
826","145","3.581","46.9","31.0","13.8","4.1","1.4","",".","0.7","2.1","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","139","3.563","44.6","32.4","14.4","4.3","1.4","",".","0.7","2.2","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","3","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","5","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","145","3.581","46.9","31.0","13.8","4.1","1.4","",".","0.7","2.1","",".",".","",".","",".","",".",".",".","."
