"Urban Transport Economics","478
001","","4","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Transp & Business Logistics","640
001","","14","3.179","28.6","14.3","42.9","7.1","",".","7.1",".","",".","",".","",".",".","",".","",".","",".",".","."
"Logistics Strategies","646
001","","17","3.676","47.1","41.2","11.8",".","",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Energy Economics","671
001","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"TRAN P U
243","Dept. Total","","36","3.431","41.7","27.8","22.2","2.8","",".","5.6","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","3","3.333","33.3",".","66.7",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","13","2.962","23.1","15.4","38.5","7.7","",".","15.4","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","16","3.031","25.0","12.5","43.8","6.3","",".","12.5","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","20","3.750","55.0","40.0","5.0",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","36","3.431","41.7","27.8","22.2","2.8","",".","5.6","",".","",".","",".",".","",".","",".","",".",".",".","."
