"EDU","","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"","244
001","","15","3.607","40.0","33.3","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","244
002","","17","3.469","29.4","35.3","23.5","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"","003
244","","15","3.367","13.3","46.7","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","47","3.478","27.7","38.3","27.7","2.1",".",".",".","2.1",".",".",".",".","2.1",".",".","."
"","246
001","","12","3.583","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","246
002","","11","3.818","81.8","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","246
003","","16","3.563","50.0","31.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Lettering","Course Total","","39","3.641","59.0","23.1","7.7","7.7","2.6",".",".",".",".",".",".",".",".",".",".","."
"Color","302
001","","47","3.809","72.3","17.0","10.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
312","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","","11","3.682","72.7","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","Course Total","","17","3.765","76.5","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","314
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","314
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sculpture II","Course Total","","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Lithography","316
001","","13","3.500","46.2","23.1","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","13","3.538","53.8","15.4","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting I","Course Total","","24","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","324
001","","16","3.367","12.5","43.8","37.5",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"Etching","326
001","","15","3.300","53.3","13.3","13.3","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","328
001","","18","3.250","44.4",".","33.3","5.6","16.7",".",".",".",".",".",".",".",".",".",".","."
"","002
328","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer in the Visual Arts","Course Total","","31","3.532","64.5",".","22.6","3.2","9.7",".",".",".",".",".",".",".",".",".",".","."
"","001
332","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","","8","3.571","37.5","25.0","25.0",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","332
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Life Drawing II","Course Total","","18","3.706","50.0","33.3","11.1",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Wood Working","334
001","","13","3.615","30.8","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","","14","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor II","342
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Art Metal II","344
001","","10","3.222","40.0","20.0","20.0",".",".",".","10.0",".",".",".",".",".",".","10.0",".","."
"Intro-Typogphy&Graphic Dsgn","346
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","356
001","","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","356
002","","14","3.607","50.0","35.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Print Production Techniques","Course Total","","28","3.607","42.9","42.9","10.7",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","376
001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
002","","16","3.906","93.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Photography","Course Total","","31","3.935","93.5","3.2",".","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","412
001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Drawing II","Course Total","","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
