"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"","207
093","17","3.000","5.9","29.4","41.2","17.6",".","5.9",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Lit, I","Course Total","761","3.219","19.1","28.5","35.6","11.3","3.7","0.5","0.4","0.4",".",".",".",".","0.1","0.4",".","."
"","208
001","167","3.084","9.6","21.0","56.9","7.8","2.4",".","1.8",".",".",".",".",".",".","0.6",".","."
"","208
003","235","3.017","8.1","23.4","40.9","19.1","8.5",".",".",".",".",".",".",".",".",".",".","."
"","004
208","41","3.863","73.2","22.0","2.4",".",".",".",".",".",".",".",".",".",".","2.4",".","."
"","092
208","38","3.303","13.2","42.1","36.8","7.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Modern Lit, II","Course Total","481","3.138","14.6","23.9","42.8","12.7","5.0",".","0.6",".",".",".",".",".",".","0.4",".","."
"","215
001","34","3.250","14.7","26.5","52.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","215
002","105","3.115","11.4","25.7","42.9","14.3","3.8","1.0",".",".",".",".",".",".",".",".",".","1.0"
"","003
215","31","2.565","19.4","12.9","12.9","16.1","25.8","3.2","9.7",".",".",".",".",".",".",".",".","."
"English Lit before 1800","Course Total","170","3.054","13.5","23.5","39.4","12.9","7.1","1.2","1.8",".",".",".",".",".",".",".",".","0.6"
"","002
216","33","3.394","21.2","42.4","30.3","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"","216
003","68","3.000","14.7","23.5","36.8","14.7","5.9",".","4.4",".",".",".",".",".",".",".",".","."
"English Lit 1800-Present","Course Total","101","3.105","16.8","29.7","34.7","11.9","4.0",".","3.0",".",".",".",".",".",".",".",".","."
"American Lit 1620-Present","217
003","66","3.311","25.8","36.4","21.2","10.6","4.5","1.5",".",".",".",".",".",".",".",".",".","."
"Shakespearean Drama","220
001","130","2.674","8.5","11.5","35.4","16.2","20.8","3.1","3.8",".","0.8",".",".",".",".",".",".","."
"Bascom Course","236
001","18","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women in Literature","250
001","47","3.293","14.9","29.8","51.1","2.1",".",".",".","2.1",".",".",".",".",".",".",".","."
"","300
001","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","16","3.656","43.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","32","3.703","50.0","40.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","14","3.536","35.7","35.7","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","13","3.462","30.8","30.8","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
301","15","3.467","33.3","33.3","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","004
301","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Fiction Wrkshp","Course Total","54","3.583","44.4","29.6","24.1","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Poetry Workshp","302
001","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Fiction Workshop","303
001","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Poetry Workshop","305
001","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","307
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Middle English","321
001","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Beowulf","322
001","7","3.083","42.9","14.3","14.3",".",".",".","14.3","14.3",".",".",".",".",".",".",".","."
"Appl Eng Linguistics-Tchrs","325
001","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL:Acad Presentatns & Disc","326
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Prof&Acad Writng Skills","327
001","7","",".",".",".",".",".",".",".",".",".","85.7",".",".",".",".",".","."
"","328
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
003","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
004","13","",".",".",".",".",".",".",".",".",".","92.3",".",".",".","7.7",".","."
"","328
005","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Acad Skills Workshops","Course Total","52","",".",".",".",".",".",".",".",".",".","98.1",".",".",".","1.9",".","."
"The Structure of English","329
001","36","3.833","72.2","25.0",".","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"English Phonology","330
001","29","3.268","31.0","20.7","27.6","3.4","13.8",".",".","3.4",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 202 of 383",""
