"","999
017","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
028","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
029","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","9","3.808","66.7","33.3",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"M E
612","Dept. Total","2192","3.217","31.3","18.5","20.2","12.6","8.1","1.4","1.1","5.6","0.0",".","",".","1.0","0.0","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","95","2.998","17.9","22.1","25.3","18.9","12.6",".","2.1",".",".",".","",".",".",".","1.1",".","."
"Sophomore","","231","2.983","28.6","16.0","22.9","13.4","14.3","2.6","2.2",".",".",".","",".",".",".",".",".","."
"Junior","","435","3.041","24.6","20.0","26.0","16.1","10.3","1.6","1.4",".",".",".","",".",".",".",".",".","."
"Senior","","883","3.034","22.0","21.1","26.0","17.6","9.9","1.8","1.1","0.3",".",".","",".",".","0.1","0.1",".","."
"Undergraduates","","1644","3.028","23.4","20.1","25.5","16.7","10.8","1.8","1.4","0.2",".",".","",".",".","0.1","0.1",".","."
"Special","","34","3.601","61.8","20.6","5.9",".",".","2.9","2.9","5.9",".",".","",".",".",".",".",".","."
"Graduate","","514","3.855","54.5","13.0","4.1","0.4","0.2",".",".","22.8","0.2",".","",".","4.5",".",".","0.4","."
"","Dept. Total","2192","3.217","31.3","18.5","20.2","12.6","8.1","1.4","1.1","5.6","0.0",".","",".","1.0","0.0","0.1","0.1","."
