"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Cross Country Skiing I","196
001","","12","3.500","16.7","25.0","16.7",".",".",".",".","41.7",".",".",".",".",".",".",".","."
"","201
001","","11","3.778","45.5","36.4",".",".",".",".",".","9.1",".",".",".",".",".","9.1",".","."
"","201
002","","16","3.929","37.5","6.3",".",".",".",".",".","56.3",".",".",".",".",".",".",".","."
"","201
003","","18","3.733","50.0","22.2","11.1",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","","45","3.790","44.4","20.0","4.4",".",".",".",".","28.9",".",".",".",".",".","2.2",".","."
"","211
001","","25","3.929","72.0","12.0",".",".",".",".",".","8.0",".",".",".",".",".","8.0",".","."
"","211
002","","21","3.475","38.1","33.3","9.5","9.5","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","46","3.707","56.5","21.7","4.3","4.3","2.2",".",".","6.5",".",".",".",".",".","4.3",".","."
"Topics-Adv Fitness Training","230
001","","19","2.929","10.5","10.5","5.3","5.3",".",".","5.3","52.6","10.5",".",".",".",".",".",".","."
"Weight Training II","232
001","","13","2.571","15.4","15.4",".",".","7.7","7.7","7.7","46.2",".",".",".",".",".",".",".","."
"","238
001","","13","3.458","7.7","69.2","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","002
238","","18","3.607","33.3","27.8","16.7",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Golf II","Course Total","","31","3.538","22.6","45.2","16.1",".",".",".",".","16.1",".",".",".",".",".",".",".","."
"Power Skating","244
001","","26","3.214","15.4","15.4","7.7","7.7","7.7",".",".","42.3",".",".",".",".",".","3.8",".","."
"Fencing II","257
001","","23","3.762","60.9","17.4","13.0",".",".",".",".","4.3",".",".",".",".",".","4.3",".","."
"","262
001","","12","3.650","50.0","8.3","25.0",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","002
262","","21","3.706","42.9","28.6","9.5",".",".",".",".","19.0",".",".",".",".",".",".",".","."
"","003
262","","9","3.429","22.2","33.3","11.1","11.1",".",".",".","22.2",".",".",".",".",".",".",".","."
"","262
004","","17","3.656","47.1","29.4","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Tennis II","Course Total","","59","3.640","42.4","25.4","15.3","1.7",".",".",".","15.3",".",".",".",".",".",".",".","."
"Racquetball II","263
001","","11","3.900","72.7","18.2",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Basketball II","270
001","","23","3.658","43.5","21.7","17.4",".",".",".",".","17.4",".",".",".",".",".",".",".","."
"","001
275","","30","3.583","33.3","13.3","6.7","3.3","3.3",".",".","40.0",".",".",".",".",".",".",".","."
"","275
002","","30","3.600","30.0","6.7","6.7","6.7",".",".",".","46.7","3.3",".",".",".",".",".",".","."
"Volleyball II","Course Total","","60","3.591","31.7","10.0","6.7","5.0","1.7",".",".","43.3","1.7",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277
001","","20","3.306","15.0","25.0","50.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Bicycling","001
295","","17","3.571","35.3","23.5","23.5",".",".",".",".","11.8",".",".",".",".",".","5.9",".","."
"Swim Endur&Stroke Proficncy","301
001","","24","3.844","45.8","20.8",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Aquatic Conditioning","303
001","","16","3.500","12.5","31.3","12.5",".",".",".",".","37.5",".",".",".",".",".","6.3",".","."
"Lifegrdng&Swimmng Supervisn","308
001","","20","3.636","20.0","30.0","5.0",".",".",".",".","35.0","5.0",".",".",".",".","5.0",".","."
"Water Safety Instructor","310
001","","22","3.132","18.2","31.8","13.6","18.2",".",".","4.5","13.6",".",".",".",".",".",".",".","."
"Lifeguard Training Renewal","313
001","","16","3.667","37.5","25.0","12.5",".",".",".",".","18.8",".",".",".",".",".","6.3",".","."
"Triathlon Training","330
001","","18","3.500","11.1","33.3","11.1",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"","362
001","","12","3.063","8.3","16.7","16.7","25.0",".",".",".","33.3",".",".",".",".",".",".",".","."
"","362
002","","23","3.667","43.5","17.4","17.4",".",".",".",".","17.4","4.3",".",".",".",".",".",".","."
"Tennis III","Course Total","","35","3.481","31.4","17.1","17.1","8.6",".",".",".","22.9","2.9",".",".",".",".",".",".","."
