"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshman Topics Seminar","100","001","11","3.591","45.5","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","104","001","516","2.801","12.4","15.1","30.4","18.4","17.6","5.0","1.0",".",".",".",".",".",".",".",".","."
"","104","092","36","3.028","27.8","2.8","36.1","19.4","11.1","2.8",".",".",".",".",".",".",".",".",".","."
"Intro-Amer Politcs&Governmt","","Course Total","552","2.816","13.4","14.3","30.8","18.5","17.2","4.9","0.9",".",".",".",".",".",".",".",".","."
"","106","001","131","3.173","20.6","24.4","35.1","8.4","9.9","0.8",".",".",".",".",".",".",".","0.8",".","."
"","106","002","235","2.865","13.6","13.6","34.0","18.3","16.6","2.1","1.3",".",".",".",".",".",".",".","0.4","."
"","106","003","58","2.931","8.6","27.6","34.5","6.9","20.7",".","1.7",".",".",".",".",".",".",".",".","."
"Intro-Comparative Politics","","Course Total","424","2.969","15.1","18.9","34.4","13.7","15.1","1.4","0.9",".",".",".",".",".",".","0.2","0.2","."
"Intro-Political Thry-Honors","185","001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Intro to Political Theory","209","001","131","3.347","35.1","22.9","28.2","9.9","2.3",".","1.5",".",".",".",".",".",".",".",".","."
"Understndng Politcl Numbers","218","001","19","3.632","47.4","31.6","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to East Asian Civ","222","001","17","2.912","35.3","11.8","29.4","5.9",".","5.9","11.8",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","9","3.222","22.2","44.4","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","30","3.067","33.3","23.3","23.3","3.3","6.7",".","10.0",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","31","3.145","35.5","9.7","29.0","12.9","9.7",".","3.2",".",".",".",".",".",".",".",".","."
"Intro to Political Psych","267","001","41","3.188","9.8","29.3","46.3","12.2",".",".",".","2.4",".",".",".",".",".",".",".","."
"","275","001","168","2.868","8.9","16.7","41.1","19.0","9.5","1.2","3.0","0.6",".",".",".",".",".",".",".","."
"","275","092","32","3.078","18.8","18.8","40.6","15.6","3.1",".","3.1",".",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","","Course Total","200","2.902","10.5","17.0","41.0","18.5","8.5","1.0","3.0","0.5",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","43","3.595","51.2","20.9","18.6","7.0",".",".",".","2.3",".",".",".",".",".",".",".","."
"Bargaining in Global Econmy","313","001","10","3.278","40.0",".","30.0","10.0","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"Probs-Amer Foreign Policy","359","001","59","3.096","11.9","22.0","49.2","10.2","5.1","1.7",".",".",".",".",".",".",".",".",".","."
"African Intl Relations","362","001","31","3.024","25.8","16.1","22.6","22.6","9.7",".","3.2",".",".",".",".",".",".",".",".","."
"Politics-Developing Areas","368","001","30","3.126","30.0","30.0","16.7","10.0","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"International Relations","375","001","100","2.835","7.0","16.0","38.0","25.0","11.0","1.0","2.0",".",".",".",".",".",".",".",".","."
"","401","001","10","3.282","20.0","30.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","401","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","203","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","18","3.216","22.2","22.2","38.9","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Amer Politics & Government","404","001","178","3.212","12.9","34.3","36.5","13.5","2.2",".",".","0.6",".",".",".",".",".",".",".","."
"The American Presidency","408","001","72","2.951","8.3","26.4","29.2","25.0","6.9","1.4","1.4","1.4",".",".",".",".",".",".",".","."
"American Judicial System","417","001","73","3.354","17.8","42.5","30.1","8.2",".",".",".","1.4",".",".",".",".",".",".",".","."
"Amer Parties & Politics","424","001","44","3.000","22.7","13.6","29.5","13.6","18.2","2.3",".",".",".",".",".",".",".",".",".","."
"Legislative Internship","427","001","21","3.595","42.9","42.9","4.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Business&Government in U.S.","441","001","22","3.452","31.8","27.3","31.8","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"Public Administration","443","001","34","3.471","41.2","32.4","17.6","2.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Politics & Am Macroeconomy","447","001","42","2.669","9.5","23.8","19.0","16.7","19.0","2.4","7.1","2.4",".",".",".",".",".",".",".","."
"Mexican-American Politics","464","001","29","2.870","31.0","13.8","17.2","10.3","13.8","10.3","3.4",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 275 of 383",""
