"MEDICAL MICROBIOL & IMMUN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"302
Pathogenic Microorgnsm Lab","001","","25","3.460","36.0","24.0","36.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"341
Immunology","001","","129","3.276","40.3","13.2","22.5","10.1","10.1","2.3",".","1.6",".",".",".",".",".",".",".","."
"350
Parasitology","001","","70","2.707","12.9","7.1","38.6","8.6","24.3","8.6",".",".",".",".",".",".",".",".",".","."
"351
Parasitology Laboratory","001","","13","3.269","15.4","23.1","61.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"529
Immunology Laboratory","001","","28","3.375","28.6","35.7","17.9","17.9",".",".",".",".",".",".",".",".",".",".",".","."
"575
Biology of Viruses","001","","50","3.065","18.0","32.0","16.0","14.0","12.0","4.0","2.0","2.0",".",".",".",".",".",".",".","."
"603
Clinicl&Pub Hlth Microbiol","001","","74","2.453","5.4","9.5","18.9","13.5","47.3","5.4",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","11","3.484","45.5",".","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","37","3.815","81.1","2.7","16.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Journal Club","001","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"901
Seminar","001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","23","4.000","87.0",".",".",".",".",".",".","13.0",".",".",".",".",".",".",".","."
