"AFRICAN LANGUAGES & LITERA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"","201","001","85","3.341","32.9","25.9","28.2","2.4","4.7",".","2.4","2.4","1.2",".",".",".",".",".",".","."
"","201","092","46","3.576","50.0","21.7","23.9","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"Intro-African Lang and Lit","","Course Total","131","3.426","38.9","24.4","26.7","2.3","3.8",".","1.5","1.5","0.8",".",".",".",".",".",".","."
"The African Storyteller","210","001","374","2.855","19.8","14.2","21.4","18.2","11.8","4.5","3.5","5.9","0.8",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","33","3.500","45.5","24.2","21.2","3.0","6.1",".",".",".",".",".",".",".",".",".",".","."
"Monitrd Lang Training-Basic","304","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Arabic","322","001","8","3.064","37.5",".","25.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Arabic","324","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Swahili","332","001","18","3.080","22.2","27.8","16.7","11.1","5.6",".","5.6","11.1",".",".",".",".",".",".",".","."
"Fourth Semester Swahili","334","001","10","3.600","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Hausa","362","001","10","3.300","40.0","20.0","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Yoruba","372","001","7","3.661","28.6","57.1",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"2nd Sem-Lang of West Africa","392","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-African Lang","399","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"African Poetry","411","001","23","3.396","13.0","47.8","34.8",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Rd","436","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","446","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"African Prose&Poetry-French","454","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Studies-Hausa Lang-Rdgs","466","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Struct&Analysis-Afric Langs","501","001","8","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structure-an African Lang","571","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Teach Africn Lang:Thry&Prac","575","001","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"S African Oral&Written Lit","935","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","9","4.000","33.3",".",".",".",".",".",".","44.4",".",".",".","22.2",".",".",".","."
