"","990
051","","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
053","","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
054","","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research and Thesis","Course Total","","29","3.926","86.2",".","3.4",".","",".","",".","",".","6.9","",".",".","",".","",".","3.4",".",".","."
"NEUROSCI
682","Dept. Total","","77","3.861","51.9","6.5","2.6","1.3","",".","",".","",".","32.5","",".",".","",".","",".","2.6",".","2.6","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","3","3.850","66.7","33.3",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","7","3.563","42.9","28.6",".","14.3","",".","",".","",".",".","",".",".","",".","",".",".",".","14.3","."
"Undergraduates","","","10","3.673","50.0","30.0",".","10.0","",".","",".","",".",".","",".",".","",".","",".",".",".","10.0","."
"Graduate","","","61","3.893","50.8","3.3","3.3",".","",".","",".","",".","37.7","",".",".","",".","",".","3.3",".","1.6","."
"Prof Yr 3","","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","","4","4.000","50.0",".",".",".","",".","",".","",".","50.0","",".",".","",".","",".",".",".",".","."
"Professionals","","","6","4.000","66.7",".",".",".","",".","",".","",".","33.3","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","77","3.861","51.9","6.5","2.6","1.3","",".","",".","",".","32.5","",".",".","",".","",".","2.6",".","2.6","."
