"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","4","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","4","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","2","",".",".",".",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","50.0"
"Graduate","3","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","4","3.556","50.0",".","25.0",".","",".","",".","",".","25.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","85","3.326","23.5","23.5","50.6",".","",".","",".","",".","1.2","",".",".","",".","",".","",".","1.2",".","."
"Prof Yr 4","248","3.697","42.3","13.3","5.6","0.4","",".","",".","",".","38.3","",".",".","",".","",".","",".",".",".","."
"Professionals","337","3.468","37.7","15.7","17.2","0.3","",".","",".","",".","28.8","",".",".","",".","",".","",".","0.3",".","."
