"SLAVIC (SLAVIC LANGUAGES)","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","","",""
"","102","001","","20","3.389","45.0","5.0","15.0","25.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"","102","002","","21","3.452","47.6","28.6","9.5","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"2nd Semester Russian","","Course Total","","41","3.423","46.3","17.1","12.2","14.6","2.4","2.4",".","4.9",".",".",".",".",".",".",".","."
"","204","001","","16","3.233","25.0","25.0","31.3","6.3",".","6.3",".",".",".",".",".",".",".",".","6.3","."
"","204","002","","14","3.464","57.1","14.3","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Russian","","Course Total","","30","3.345","40.0","20.0","23.3","6.7",".","6.7",".",".",".",".",".",".",".",".","3.3","."
"Fourth Semester Polish","208","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","","7","2.929",".","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Russian II","276","001","","23","3.196","30.4","26.1","17.4","13.0","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"Russ Honor Tutorial-Slav204","284","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Zarys historii lit polskiej","302","001","","8","3.714","62.5",".","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Topics-Russian:Study Abroad","310","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Russian Lang & Culture II","316","001","","12","3.500","41.7","33.3","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Russian II","322","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Uvod u srpsku i hrvtsku lit","342","001","","9","3.563","22.2","55.6","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"2nd Sem Intensive Czech","352","001","","6","3.700","66.7",".",".","16.7",".",".",".","16.7",".",".",".",".",".",".",".","."
"Women in Russian Lit","405","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Chekhov","420","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem Intensive Serbo-Cro","442","001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Slavic&E European Folklore","444","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","9","3.864","66.7","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Survey of Old Russian Lit","701","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","705","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pushkin","710","001","","8","3.833","50.0","25.0",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Russian Symbolism","730","001","","8","3.625","25.0","12.5","12.5",".",".",".",".","37.5",".",".",".",".","12.5",".",".","."
"","799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"College Teaching of Russian","820","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Soviet Literature","925","001","","8","3.643","50.0","12.5","25.0",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","991","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","012","","6","4.000","33.3",".",".",".",".",".",".","50.0",".",".",".","16.7",".",".",".","."
"","991","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Research-Slavic Lit","","Course Total","","10","4.000","40.0",".",".",".",".",".",".","30.0",".",".",".","30.0",".",".",".","."
