"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","112","3.095","17.9","13.4","49.1","10.7","5.4","0.9","0.9","0.9",".",".",".",".","0.9",".",".","."
"","300
002","230","3.092","16.1","16.1","46.5","16.1","2.6","0.9","0.9","0.4",".",".",".",".","0.4",".",".","."
"","003
300","43","3.035","20.9","20.9","27.9","14.0","11.6","4.7",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","385","3.087","17.1","15.8","45.2","14.3","4.4","1.3","0.8","0.5",".",".",".",".","0.5",".",".","."
"","320
001","116","3.061","19.8","18.1","29.3","19.8","11.2","0.9",".","0.9",".",".",".",".",".",".",".","."
"","002
320","65","2.897","12.3","18.5","27.7","29.2","3.1","4.6","1.5","3.1",".",".",".",".",".",".",".","."
"Investments","Course Total","181","3.003","17.1","18.2","28.7","23.2","8.3","2.2","0.6","1.7",".",".",".",".",".",".",".","."
"","325
001","92","3.231","23.9","23.9","33.7","8.7","8.7",".",".",".",".",".",".",".",".","1.1",".","."
"","325
002","54","2.971","14.8","20.4","27.8","14.8","16.7","1.9",".","3.7",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","146","3.136","20.5","22.6","31.5","11.0","11.6","0.7",".","1.4",".",".",".",".",".","0.7",".","."
"","399
023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","4","***","","","","","","","","","","","","","","","",""
"Bank Management","410
001","41","3.134","22.0","14.6","41.5","17.1","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","49","3.276","20.4","32.7","36.7","6.1","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"","630
001","44","3.405","20.5","43.2","27.3","2.3","2.3",".",".","4.5",".",".",".",".",".",".",".","."
"","630
002","45","3.489","46.7","22.2","17.8","8.9","4.4",".",".",".",".",".",".",".",".",".",".","."
"Options & Financial Futures","Course Total","89","3.448","33.7","32.6","22.5","5.6","3.4",".",".","2.2",".",".",".",".",".",".",".","."
"","635
003","30","3.533","50.0","16.7","23.3","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","635
004","20","3.526","30.0","40.0","25.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Security Analysis","Course Total","50","3.531","42.0","26.0","24.0","6.0",".",".",".","2.0",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","700
001","48","3.469","29.2","41.7","22.9","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Financl Mgt-Depository Inst","710
001","22","3.523","36.4","40.9","18.2",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720
001","50","3.530","38.0","34.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
001","39","3.192","17.9","25.6","43.6","7.7","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"Invest Mgt-Finan Institutns","740
001","17","3.706","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745
001","29","3.431","24.1","37.9","37.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Market for Corporate Contrl","750
001","8","3.714","50.0","25.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","799
046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","5","***","","","","","","","","","","","","","","","",""
"Intmed Investment Theory","820
001","11","3.550","36.4","36.4","9.1","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","836
001","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","920
001","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Seminar-Finance PhD","972
001","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","9","3.500","11.1","77.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
115","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 58 of 383"
