"L&S","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"MATH
600","Dept. Total","5461","2.632","23.1","9.9","19.9","9.7","21.4","8.4","6.0","0.3","0.0","0.9","0.0","",".","0.1","0.3","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2082","2.455","16.3","8.8","20.7","9.6","24.7","10.2","8.0",".",".","1.3","0.1","",".","0.0","0.2",".","."
"Sophomore","","1771","2.618","19.6","10.4","21.7","11.3","21.9","8.1","5.6","0.1",".","1.2",".","",".",".","0.1",".","."
"Junior","","806","2.685","23.8","12.0","20.5","9.1","20.8","7.9","4.8","0.1","0.1","0.2",".","",".","0.1","0.2","0.1","."
"Senior","","448","2.779","28.1","11.6","16.7","10.7","19.2","7.8","4.2","0.7",".",".",".","",".","0.2","0.7",".","."
"Undergraduates","","5107","2.571","19.7","10.1","20.7","10.2","22.6","8.9","6.3","0.1","0.0","1.0","0.0","",".","0.1","0.2","0.0","."
"Special","","52","3.086","44.2","9.6","17.3","7.7","15.4","1.9","3.8",".",".",".",".","",".",".",".",".","."
"Graduate","","302","3.830","77.5","6.6","7.6","0.7","1.3",".",".","3.0",".",".",".","",".","1.0","1.0","0.7","0.7"
"","Dept. Total","5461","2.632","23.1","9.9","19.9","9.7","21.4","8.4","6.0","0.3","0.0","0.9","0.0","",".","0.1","0.3","0.1","0.0"
