"","775
029","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","775
030","2","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","775
031","2","***","","","","","","","","","",".",".",".","",".","",".",".","."
"Externship","Course Total","34","",".",".",".",".",".",".",".","100.0",".",".",".","",".","",".",".",".","."
"MED SC-V
623","Dept. Total","802","3.218","21.1","5.5","7.6","1.2","2.1","0.4","0.1","62.0",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Junior","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Senior","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Undergraduates","","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","212","3.524","12.3","17.0","10.4",".",".",".",".","60.4",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","19","4.000","5.3",".",".",".",".",".",".","94.7",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","160","2.744","1.3","5.0","24.4","6.3","10.6","1.3",".","51.3",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","408","3.946","33.6",".",".",".",".","0.2","0.2","65.9",".",".",".","",".","",".",".",".","."
"Professionals","","799","3.211","20.8","5.5","7.6","1.3","2.1","0.4","0.1","62.2",".",".",".","",".","",".",".",".","."
"","Dept. Total","802","3.218","21.1","5.5","7.6","1.2","2.1","0.4","0.1","62.0",".",".",".","",".","",".",".",".","."
