"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Professnl Responsibilities","Course Total","101","3.551","40.6","18.8","25.7","3.0",".",".",".","10.9",".",".",".",".",".",".",".","1.0"
"","852
001","10","3.944","80.0","10.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","852
002","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
003","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
004","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
005","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","852
007","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","81","3.968","22.2","1.2",".",".",".",".",".","76.5",".",".",".",".",".",".",".","."
"","854
001","28","",".",".",".",".",".",".",".","96.4",".",".",".",".",".",".",".","3.6"
"","854
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
854","11","3.514","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","854
004","14","2.000",".",".",".",".","7.1",".",".","92.9",".",".",".",".",".",".",".","."
"","854
005","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
007","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Program","Course Total","79","3.414","3.8","6.3","3.8",".","1.3",".",".","83.5",".",".",".",".",".",".",".","1.3"
"Collctv Bargng-Negotn Proc","001
857","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collctv Bargang-Arbtrn Proc","858
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutionalized Persons","862
001","57","",".",".",".",".",".",".",".","98.2",".",".",".",".","1.8",".",".","."
"Litigation in Criminl Cases","863
001","28","3.411","39.3","14.3","39.3","3.6",".","3.6",".",".",".",".",".",".",".",".",".","."
"International Tax","870
001","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Iss: N Amer & E Asia","872
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wis Environmntl Law Journal","894
001","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","53","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Womens Law Journal","896
001","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","69","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Juvenile Justice Adm","902
001","17","3.489","35.3","35.3","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","904
001","8","3.750","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","12.5"
"","002
904","34","3.529","38.2","32.4","26.5","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law Seminar","Course Total","42","3.576","40.5","28.6","23.8","2.4",".",".",".",".",".",".",".",".","2.4",".",".","2.4"
"Securities Regulation","914
001","29","3.725","44.8","10.3","13.8",".",".",".",".","31.0",".",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","915
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Law & Admin Seminar","935
001","26","3.580","46.2","19.2","30.8",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Law of European Community","938
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
001","25","3.840","68.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
002","13","3.231","7.7","30.8","61.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
004","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
006","34","3.938","82.4","11.8",".",".",".",".",".","2.9",".",".",".",".","2.9",".",".","."
"","940
007","9","3.278","11.1","33.3","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
940","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 322 of 383",""
