"","990
061","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
067","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
120","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"PhD Thesis-Marketing","Course Total","9","4.000","33.3",".",".",".",".",".",".","55.6","11.1",".","",".","",".",".",".",".","."
"MARKETNG
237","Dept. Total","1292","3.246","19.4","26.3","39.2","8.7","2.8","0.4","0.2","2.3","0.1",".","",".","",".","0.2","0.2","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","","",""
"Junior","","363","3.205","11.6","31.7","45.2","9.6","0.8","0.3","0.3",".",".",".","",".","",".","0.3",".","0.3","."
"Senior","","661","3.197","19.5","23.3","40.5","10.3","4.2","0.6","0.3","0.8",".",".","",".","",".","0.2","0.3",".","."
"Undergraduates","","1024","3.200","16.7","26.3","42.2","10.1","3.0","0.5","0.3","0.5",".",".","",".","",".","0.2","0.2","0.1","."
"Special","","31","3.177","19.4","19.4","45.2","9.7","6.5",".",".",".",".",".","",".","",".",".",".",".","."
"Graduate","","235","3.475","31.5","26.8","26.0","3.0","1.3",".",".","10.6","0.4",".","",".","",".",".",".",".","0.4"
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","2","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","1292","3.246","19.4","26.3","39.2","8.7","2.8","0.4","0.2","2.3","0.1",".","",".","",".","0.2","0.2","0.1","0.1"
