"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"Woman-Western Culture","101","001","109","3.211","13.8","28.4","45.0","11.9","0.9",".",".",".",".",".",".",".",".",".",".","."
"Women-Soc Inst & Soc Change","102","001","102","2.980","8.8","24.5","41.2","12.7","5.9","3.9","1.0","2.0",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","406","3.469","42.6","32.0","14.0","5.2","3.4","0.7","1.5","0.2",".",".",".",".","0.2",".",".","."
"Women in Russn Lit in Trans","205","001","15","3.267","6.7","53.3","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Gender & Work-Rural America","215","001","16","2.107","6.3","12.5","12.5","18.8","12.5","6.3","18.8","12.5",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","31","2.823","25.8","16.1","16.1","19.4","6.5","12.9","3.2",".",".",".",".",".",".",".",".","."
"Race & Ethnicity-U.S. Women","223","001","40","3.738","60.0","30.0","7.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Women in Literature","250","001","13","3.231","7.7","30.8","61.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lt Trn:Fr Wom Writers Today","251","001","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310","001","33","3.691","51.5","30.3","15.2",".",".",".",".",".",".",".",".",".",".",".",".","3.0"
"","310","002","38","3.474","36.8","28.9","26.3","7.9",".",".",".",".",".",".",".",".",".",".",".","."
"Topics - Women & Humanities","","Course Total","71","3.573","43.7","29.6","21.1","4.2",".",".",".",".",".",".",".",".",".",".",".","1.4"
"Gender and Music","317","001","43","3.151","16.3","20.9","46.5","9.3","7.0",".",".",".",".",".",".",".",".",".",".","."
"Tpc:Women & Society","320","001","32","3.531","43.8","18.8","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender, Race & Class","323","001","36","3.431","13.9","58.3","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gendr&Sexualty-Classcl Wrld","351","001","50","3.148","16.0","26.0","34.0","10.0","6.0","2.0",".","6.0",".",".",".",".",".",".",".","."
"Women-Amer Society to 1870","353","001","29","3.296","13.8","37.9","31.0","10.3",".",".",".","6.9",".",".",".",".",".",".",".","."
"Women in 20th C. Jewish Lit","355","001","45","3.189","31.1","17.8","40.0","2.2","2.2","2.2","4.4",".",".",".",".",".",".",".",".","."
"Contemp Feminist Theories","441","001","37","3.500","45.9","13.5","35.1","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"Anthropology by Women","443","001","23","3.000","4.3","21.7","52.2","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"Biology and Gender","530","001","44","3.705","61.4","25.0","9.1","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Educ&Sex Role Socialization","560","001","51","3.360","31.4","41.2","17.6","2.0",".","2.0","3.9","2.0",".",".",".",".",".",".",".","."
"Advanced Smr in Women's St","640","001","28","3.482","35.7","46.4","14.3",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"Senior Thesis I","691","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","117","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","110","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Hlth-Women Across Lifespan","735","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch Methods in Women's St","900","001","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Research","999","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
