"HEC","","","","","","","","","","","","","","","","","","","","","","","","",""
"FAM & CONSUMER COMMUNICA Section","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","","","","","","",""
"100
001","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"100
002","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"100
003","","2","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"100
004","","6","3.583","16.7","83.3",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"100
005","","5","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"100
006","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
Intro Com: Inquiry&Expositn","","16","3.563","37.5","50.0","6.3",".","6.3",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"130
001
Family & Consumer Newswrtg","","9","3.111",".","44.4","44.4",".","11.1",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"330
001
Family & Consumer Features","","13","3.154","15.4","30.8","46.2",".",".","7.7",".","",".","",".","",".",".","",".","",".","",".",".","."
"360
001
Information Radio","","4","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"376
001
Mass Media and the Family","","6","3.333","16.7","33.3","50.0",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"505
001
Publications Editing","","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"515
001
Pub Info Campaigns & Progms","","4","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"530
001
Print&Electronic Media Dsgn","","9","3.333","11.1","44.4","44.4",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"601
015
Internship","","6","",".",".",".",".",".",".",".","",".","",".","","100.0",".","",".","",".","",".",".","."
"616
001
Mass Media and Youth","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"699
015
Independent Study","","8","3.158","50.0",".","25.0",".","25.0",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"FAM COM
Dept. Total
464","","79","3.364","26.6","30.4","29.1",".","5.1","1.3","",".","",".","",".","7.6","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","3.625","37.5","50.0","12.5",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","8","3.438","25.0","37.5","37.5",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","24","3.348","16.7","41.7","33.3",".","4.2",".","",".","",".","",".","4.2","",".","",".","",".",".",".","."
"Senior","","39","3.294","30.8","17.9","28.2",".","7.7","2.6","",".","",".","",".","12.8","",".","",".","",".",".",".","."
"Undergraduates","","79","3.364","26.6","30.4","29.1",".","5.1","1.3","",".","",".","",".","7.6","",".","",".","",".",".",".","."
"Dept. Total","","79","3.364","26.6","30.4","29.1",".","5.1","1.3","",".","",".","",".","7.6","",".","",".","",".",".",".","."
