"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Independent Study","699
039","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Third Year Psychiatry","812
001","","64","3.695","54.7","37.5","3.1","1.6","3.1",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"PSYCHIAT
814","Dept. Total","","65","3.696","55.4","36.9","3.1","1.5","3.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Graduate","","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","","1","3.500",".","100.0",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","61","3.705","57.4","34.4","3.3","1.6","3.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","2","3.500",".","100.0",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","64","3.695","54.7","37.5","3.1","1.6","3.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","65","3.696","55.4","36.9","3.1","1.5","3.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
