"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"335
Dutch Conversatn&Compositn","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"337
Adv Compositn & Conversatn","001","","16","3.567","37.5","37.5","12.5","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"362","001","","15","3.433","26.7","46.7","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"362","002","","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in German Literature","Course Total","","27","3.537","37.0","40.7","14.8","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"372","001","","17","3.794","88.2","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"372","002","","18","3.464","16.7","66.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in German Culture","Course Total","","35","3.621","51.4","37.1","5.7","2.9",".","2.9",".",".",".",".",".",".",".",".",".","."
"385
Honors Seminar-German Lit","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"392
German for Grad Reading II","001","","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"401","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem German for Grad Stdts","Course Total","","3","***","","","","","","","","","","","","","","","",""
"402","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"402","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"402","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem German for Grad Stdts","Course Total","","4","***","","","","","","","","","","","","","","","",""
"404","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"404","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem German for Grad Stdts","Course Total","","3","***","","","","","","","","","","","","","","","",""
"411
Kultur des 20. Jahrhunderts","001","","11","3.545","45.5","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"625
Letterkunde der Lage Landen","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Intro to Middle High German","001","","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"676
Adv Seminar in German Studies","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"683
Sr Honors Sem-German Lit","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"723
Pract-Teachng Undergrad Lit","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"725
Pract-Teach Undergr Culture","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"727
Topics-Applied Linguistics","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Old Germanic Languages","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"947
Seminar-German Lit & Culture","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research in Lit","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 236 of 426",""
