"LANG & CULTURES OF ASIA - LA Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","","","",""
"675
001
Advanced Readings in Sanskrit","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"LCA LANG
Dept. Total
522","134","3.874","81.3","12.7","2.2","0.7","1.5","",".","",".","0.7","",".",".","",".","",".","0.7",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","11","3.955","90.9","9.1",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","28","3.894","82.1","10.7",".","3.6",".","",".","",".",".","",".",".","",".","",".","3.6",".",".","."
"Junior","35","3.842","71.4","25.7","2.9",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","31","3.780","80.6","6.5","6.5",".","6.5","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","105","3.850","79.0","14.3","2.9","1.0","1.9","",".","",".",".","",".",".","",".","",".","1.0",".",".","."
"Special","6","3.905","66.7","16.7",".",".",".","",".","",".","16.7","",".",".","",".","",".",".",".",".","."
"Graduate","21","3.981","95.2","4.8",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Dept. Total","134","3.874","81.3","12.7","2.2","0.7","1.5","",".","",".","0.7","",".",".","",".","",".","0.7",".",".","."
