"","JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201","001","342","3.709","55.6","31.3","11.4","0.9","0.3",".",".",".",".",".",".",".","0.6",".",".","."
"Mass Communication Practices","202","001","105","3.510","23.8","55.2","20.0","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","335","001","18","3.618","33.3","50.0","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","335","002","21","3.450","14.3","61.9","14.3","4.8",".",".",".",".",".",".",".",".","4.8",".",".","."
"Principles/Practices-Reporting","","Course Total","39","3.527","23.1","56.4","12.8","2.6",".",".",".","2.6",".",".",".",".","2.6",".",".","."
"","345","001","40","3.613","50.0","27.5","17.5","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","345","002","40","3.663","52.5","30.0","15.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Principles & Pract Strat Comm","","Course Total","80","3.638","51.3","28.8","16.3","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","373","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Creative Nonfiction","405","001","15","3.767","73.3","20.0",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Investigative Reporting","420","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Campaign Messages","445","001","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","447","001","25","3.400","36.0","28.0","24.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Digital Media Strategies","463","001","24","3.854","79.2","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Relations Strategies","464","001","24","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","014","9","3.611","55.6","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","475","033","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","034","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","","Course Total","25","3.860","84.0","12.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Mass Communication&Society","561","001","62","3.613","41.9","41.9","14.5",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","563","001","88","3.511","44.3","31.8","12.5","6.8","3.4","1.1",".",".",".",".",".",".",".",".",".","."
"Media and the Consumer","564","001","94","3.344","23.4","33.0","36.2","3.2","2.1","1.1",".","1.1",".",".",".",".",".",".",".","."
"Colloquium Prof Comm Careers","601","002","47","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Mass Comm & Political Behav","618","001","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Communication","620","001","22","3.818","68.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communication Rsch Methods","658","001","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","697","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 254 of 426",""
