"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"Mergers and Acquisitions","750
001","25","3.540","36.0","36.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","757
001","21","3.595","33.3","52.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
031","35","3.800","68.6","22.9","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","836
001","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance II","851
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Investments (Ph.D.)","970
001","6","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Seminar-Finance PhD","972
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Thesis-Finance","990
121","2","***","","","","","","","","","",".",".",".",".",".",".","."
"FINANCE
233","Dept. Total","1621","3.349","36.3","25.3","21.3","7.8","8.1","0.6","0.2","0.2","0.1",".",".","0.1","0.1",".","0.1","."
