"LEGAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131
001","121","3.042","19.0","27.3","20.7","15.7","11.6","3.3","0.8",".",".",".",".",".","1.7",".",".","."
"American Legal History to Pres","262
001","53","3.020","7.5","18.9","52.8","11.3","3.8",".","1.9","3.8",".",".",".",".",".",".",".","."
"","400
018","47","3.185","14.9","25.5","42.6","10.6","4.3",".",".","2.1",".",".",".",".",".",".",".","."
"","021
400","44","3.114","18.2","29.5","27.3","15.9","6.8",".","2.3",".",".",".",".",".",".",".",".","."
"","400
023","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
024","11","3.636","54.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","025
400","19","3.553","52.6","31.6","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","400
035","19","3.868","89.5","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Topics: Legal Studies&Soc Sci","Course Total","158","3.417","41.8","22.2","21.5","8.9","3.8","0.6","0.6","0.6",".",".",".",".",".",".",".","."
"Women and the Law","422
001","12","3.375","50.0","25.0","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Law and Environment","430
001","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law in Action","444
001","69","3.746","66.7","24.6","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","450
014","18","3.294","22.2","22.2","38.9","11.1",".",".",".","5.6",".",".",".",".",".",".",".","."
"","017
450","22","3.667","50.0","27.3","18.2",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","450
028","19","3.293","31.6","31.6","10.5","15.8","10.5",".",".",".",".",".",".",".",".",".",".","."
"Topic:Legal Studies&Humanities","Course Total","59","3.430","35.6","27.1","22.0","8.5","3.4",".",".","3.4",".",".",".",".",".",".",".","."
"Legal Pluralism","001
510","15","3.467","20.0","60.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Crimnl Justice Fld Observtn","694
001","26","3.865","80.8","11.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","16","3.857","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
