"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","43","3.951","88.4","4.7","2.3",".",".",".",".",".",".",".",".",".","4.7",".",".","."
"","160
002","19","3.553","47.4","31.6","5.3","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","160
003","13","3.667","53.8","15.4","23.1",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Architectural Graphics","Course Total","32","3.597","50.0","25.0","12.5","9.4",".",".",".",".",".",".",".",".","3.1",".",".","."
"","170
002","17","3.382","41.2","11.8","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","003
170","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
170","11","3.409","45.5","18.2","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","37","3.432","40.5","21.6","24.3","10.8","2.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mech Eng","201
001","103","3.770","74.8","10.7","9.7","1.9","1.0","1.0",".",".",".",".",".",".",".",".","1.0","."
"Intro Engineering Graphics","001
231","123","3.134","17.1","32.5","30.9","12.2","2.4","3.3","1.6",".",".",".",".",".",".",".",".","."
"Dynamics","240
001","117","3.137","19.7","17.1","44.4","12.0","5.1","1.7",".",".",".",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","291
050","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","299
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","306
001","75","3.068","20.0","24.0","24.0","18.7","8.0","4.0",".",".",".",".",".",".",".","1.3",".","."
"","306
002","64","3.063","14.1","18.8","32.8","34.4",".",".",".",".",".",".",".",".",".",".",".","."
"","306
003","72","3.118","11.1","30.6","34.7","20.8","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","211","3.083","15.2","24.6","30.3","24.2","3.3","1.9",".",".",".",".",".",".",".","0.5",".","."
"","307
001","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","10","3.350","50.0",".","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","307
003","9","3.667","55.6","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","004
307","9","3.167","44.4","11.1","22.2",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","307
005","9","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
307","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","9","3.667","77.8",".","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","307
010","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
011","11","3.500","45.5","45.5",".",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","307
012","13","3.654","61.5","7.7","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","014
307","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
307","12","3.125","33.3","41.7","8.3",".",".","8.3","8.3",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","154","3.617","62.3","17.5","12.3","3.2","1.9","1.9","0.6",".",".",".",".",".",".",".",".","."
"","313
001","52","3.029","17.3","15.4","32.7","25.0","9.6",".",".",".",".",".",".",".",".",".",".","."
"","002
313","63","3.065","6.3","33.3","33.3","20.6","3.2","1.6",".","1.6",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","115","3.048","11.3","25.2","33.0","22.6","6.1","0.9",".","0.9",".",".",".",".",".",".",".","."
"","314
001","57","3.377","28.1","33.3","28.1","7.0","3.5",".",".",".",".",".",".",".",".",".",".","."
"","314
002","50","3.350","22.0","36.0","34.0","6.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Fundamentals","Course Total","107","3.364","25.2","34.6","30.8","6.5","2.8",".",".",".",".",".",".",".",".",".",".","."
