"FARM & INDUSTRY SHORT COU Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"375
FISC","","","","","","","","","","","","","","","","","","","","",""
"Meat Animal Production II","102","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Grain Crops Production & Mgmt","104","001","","15","3.167","46.7","13.3","13.3","6.7","6.7","13.3",".",".",".",".",".",".",".",".",".","."
"Ruminant Nutrition","114","001","","15","2.933","40.0","6.7","20.0","6.7","6.7","20.0",".",".",".",".",".",".",".",".",".","."
"Ag Commodities Marketing","121","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Soil and Crop Nutrient Mgmt","133","001","","17","3.471","64.7",".","5.9","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"Agricultural Business Law","136","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"ID and Management of Ag Pests","142","001","","12","3.167","25.0","8.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Farm Power","143","001","","19","3.000","21.1","26.3","15.8","15.8","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"Safe & Effective Pesticide Use","23","001","","9","3.389","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Bus. Principles of Ag Mgmt","51","001","","43","3.453","60.5","16.3","4.7","9.3","4.7",".","4.7",".",".",".",".",".",".",".",".","."
"Agricultural Safety and Health","52","001","","47","2.957","21.3","19.1","27.7","14.9","8.5","6.4","2.1",".",".",".",".",".",".",".",".","."
"","53","001","","33","2.985","30.3","15.2","21.2","12.1","15.2",".","6.1",".",".",".",".",".",".",".",".","."
"","53","002","","18","1.833","16.7","5.6","5.6","16.7","5.6","27.8","22.2",".",".",".",".",".",".",".",".","."
"Ag Human Resources Mgmt","","Course Total","","51","2.578","25.5","11.8","15.7","13.7","11.8","9.8","11.8",".",".",".",".",".",".",".",".","."
"","54","001","","24","3.375","29.2","45.8","16.7","4.2",".",".","4.2",".",".",".",".",".",".",".",".","."
"","54","002","","18","3.361","33.3","50.0","5.6",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Agribusiness Communications","","Course Total","","42","3.369","31.0","47.6","11.9","2.4","2.4",".","4.8",".",".",".",".",".",".",".",".","."
"Food Safety","59","001","","44","2.477","22.7","13.6","13.6","13.6","13.6","6.8","15.9",".",".",".",".",".",".",".",".","."
"Dairy Herd Health","61","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Dairy Herd Management","63","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pasture Management","71","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PBDL: Managing the Business","73","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","75","002","","7","2.786",".","28.6","28.6","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"","75","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","75","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","75","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in FISC","","Course Total","","10","3.250","20.0","30.0","20.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
