"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"619","004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"619","007","","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","010","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","011","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","012","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","Course Total","","90","3.963","92.2","4.4","1.1",".",".",".",".",".",".",".",".",".","1.1",".","1.1","."
"661","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"661","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"661","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Production Practicum","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.763","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"970
Collaboratv Design&Tech Studio","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
