"CELL AND REGENERATIVE BIOL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","",""
"630
Proteomics for Biologists","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"640
Fund Stem Cell Regen Biol","002","","16","3.875","93.8",".",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"650
Molecular & Cell Organogenesis","001","","14","3.643","50.0","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"675
Cell and Regenerative Biology","001","","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","34","3.959","91.2","8.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Cell Signals and Human Disease","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"820
Biotechnology Operations","001","","23","3.609","26.1","69.6","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"824
Molecular Technologies II","001","","23","3.891","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"842
Bus Biotech: Sustaining Growth","001","","18","3.265","22.2","22.2","33.3","16.7",".",".",".",".",".",".",".",".","5.6",".",".","."
"843
Project Mgmt & Leadership","001","","19","3.472","31.6","42.1","10.5","5.3","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"844
Adv Biotech: Global Perspectvs","001","","18","3.353","22.2","33.3","27.8","11.1",".",".",".",".",".",".",".",".","5.6",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
