"L&S","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"CHEM
224","Dept. Total","6184","3.010","30.2","11.4","23.1","9.4","13.9","4.0","1.2","5.0","0.0","1.2","",".","0.3","0.2","0.1","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","626","2.691","16.5","9.9","26.2","13.9","23.2","8.5","1.8",".",".",".","",".",".","0.2",".",".","."
"Sophomore","","2082","3.058","29.4","13.3","25.9","11.1","14.9","4.3","0.9",".",".",".","",".",".","0.1","0.0",".","."
"Junior","","1523","2.992","28.0","11.5","28.4","9.1","17.4","4.0","1.2",".","0.1",".","",".",".","0.1","0.1",".","."
"Senior","","1091","3.012","33.7","13.2","23.5","10.5","12.2","3.7","2.5",".",".","0.1","",".","0.1","0.5",".",".","."
"Undergraduates","","5322","2.982","28.4","12.4","26.2","10.8","16.0","4.6","1.4",".","0.0","0.0","",".","0.0","0.2","0.1",".","."
"Special","","60","3.245","41.7","16.7","16.7","6.7","11.7","5.0",".",".",".",".","",".",".",".","1.7",".","."
"Graduate","","1029","3.814","52.1","3.7","2.3","0.2","0.1",".",".","32.7","0.1","7.1","",".","1.6","0.1",".","0.1","."
"Prof Yr 4","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","6412","3.010","32.3","11.0","22.3","9.0","13.4","3.8","1.2","5.2","0.0","1.2","",".","0.3","0.2","0.1","0.0","."
