"","AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"Intro to Agr & Applied Econ","215","001","","69","3.052","43.5","11.6","5.8","10.1","15.9","7.2","2.9",".",".",".",".",".","2.9",".",".","."
"Environment&Global Economy","244","001","","49","3.052","24.5","14.3","34.7","4.1","18.4",".","2.0",".",".",".",".",".",".",".","2.0","."
"Independent Study","299","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","306","001","","6","2.750",".","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","306","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","","Course Total","","8","2.938",".","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"The Internatl Ag Economy","319","001","","19","3.053","26.3","15.8","31.6","15.8","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Commodity Markets","322","001","","50","3.000","36.0","16.0","6.0","20.0","12.0","8.0","2.0",".",".",".",".",".",".",".",".","."
"World Hunger & Malnutrition","350","001","","97","3.318","34.0","24.7","19.6","11.3","9.3",".",".",".",".",".",".",".",".",".","1.0","."
"Globalizatn, Poverty&Develpmnt","373","001","","21","3.750","52.4","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"Special Topics","375","001","","27","3.739","59.3","18.5",".","3.7","3.7",".",".","14.8",".",".",".",".",".",".",".","."
"","399","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Latin Amer Economc Develpmt","462","001","","17","3.559","64.7","17.6","11.8",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","","27","3.173","25.9","22.2","14.8","25.9","7.4",".",".",".",".",".",".",".","3.7",".",".","."
"Senior Capstone Experience","500","001","","56","3.927","85.7","10.7","1.8",".",".",".",".",".",".",".",".",".","1.8",".",".","."
"Community Economic Analysis","520","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Natural Resource Economics","531","001","","14","3.286","35.7","14.3","35.7",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Applied Econometric Anal II","637","001","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fndtns Development Economics","642","001","","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fndtns Environ/Resource Econ","643","001","","25","3.040","40.0","8.0","8.0","24.0","12.0","8.0",".",".",".",".",".",".",".",".",".","."
"Decisn Meth-Nat Resrc Mangr","652","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Economics","671","001","","24","3.688","58.3","29.2","4.2","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Development Economics 1","730","001","","7","3.571","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Econometrics Res/Energy Demand","772","001","","16","3.300","18.8","37.5","25.0","6.3","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"Sem Res/Energy Demand Analysis","773","001","","18","3.500","27.8","44.4","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum Res/Energy Demand I","774","001","","15","3.567","40.0","33.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Colloquium","780","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract:Ag&Appl Econ Teaching","799","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","080","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","082","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","088","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","092","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","","","Page 1 of 426"
