"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"150
Career Orientation An/Poul Sci","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","144","3.102","31.9","23.6","10.4","13.2","13.2","4.9","1.4",".",".",".",".",".","1.4",".",".","."
"221
Adv Meat Animal Eval Lab","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"305
Intro-Meat Sci & Technology","001","","38","2.961","21.1",".","42.1","23.7","13.2",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","43","2.872","32.6","9.3","18.6","11.6","14.0","11.6","2.3",".",".",".",".",".",".",".",".","."
"313
Animal Feeds&Diet Formulatn","001","","12","3.318","25.0","16.7","41.7","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"321
Food Laws and Regulations","001","","6","3.083","33.3","33.3",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"361
Intro to Animal & Vet Genetics","001","","44","2.674","15.9","6.8","22.7","15.9","29.5","6.8",".",".",".",".",".",".",".",".",".","2.3"
"362
Veterinary Genetics","001","","36","2.653","19.4","11.1","13.9","19.4","22.2","13.9",".",".",".",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","9","2.556","11.1",".","55.6",".","11.1","22.2",".",".",".",".",".",".",".",".",".","."
"373
Animal Physiology","001","","48","3.042","33.3","12.5","16.7","12.5","20.8","4.2",".",".",".",".",".",".",".",".",".","."
"375","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","19","3.711","63.2","26.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"375","004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","47","3.844","85.1","10.6","2.1",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"432
Swine Production","001","","9","3.611","77.8",".",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"433
Equine Business & Management","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"472
Animal Ag & Sustainable Devel","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"520
Ornithology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"521","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"521","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"521","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","4","***","","","","","","","","","","","","","","","",""
"682
Senior Honors Thesis","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"799","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","","Page 34 of 426"
