"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"MED SC-M","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior","","3","***","","","","","","","","","","100.0",".",".",".",".",".","."
"Undergraduates","","5","***","","","","","","","","","","60.0",".",".",".",".",".","."
"Special","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","1","***","","","","","","","","","","100.0",".",".",".",".",".","."
"Prof Yr 1","","202","",".",".",".",".",".",".",".","83.7",".","13.4",".",".",".",".",".","3.0"
"Prof Yr 2","","25","3.143","16.0","16.0","16.0","4.0","12.0",".",".","12.0",".","24.0",".",".",".",".",".","."
"Prof Yr 3","","13","2.820",".",".","53.8","7.7","7.7",".",".",".",".","23.1",".",".",".",".","7.7","."
"Prof Yr 4","","51","",".",".",".",".",".",".",".","96.1",".","3.9",".",".",".",".",".","."
"Professionals","","291","3.022","1.4","1.4","3.8","0.7","1.4",".",".","75.9",".","13.1",".",".",".",".","0.3","2.1"
