"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"100
Biochemistry Freshman Seminar","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"104
Mol Mech, Human Health, You","001","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","039","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","046","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","054","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","13","4.000","76.9",".",".",".",".",".",".","23.1",".",".",".",".",".",".",".","."
"501","001","","342","3.197","35.1","18.1","21.3","7.9","14.6","2.9",".",".",".",".",".",".",".",".",".","."
"501","002","","205","3.090","28.8","17.1","26.8","7.8","15.1","3.9","0.5",".",".",".",".",".",".",".",".","."
"Introduction-Biochemistry","Course Total","","547","3.157","32.7","17.7","23.4","7.9","14.8","3.3","0.2",".",".",".",".",".",".",".",".","."
"508
General Biochemistry II","001","","152","2.457","10.5","7.2","27.0","9.9","31.6","7.9","5.3",".",".",".",".",".",".",".","0.7","."
"510
Biochm Prin-Human&Anml Nutr","001","","61","3.320","54.1","6.6","14.8","8.2","11.5","4.9",".",".",".",".",".",".",".",".",".","."
"551
Biochemical Methods","001","","96","3.505","44.8","32.3","10.4","8.3","3.1",".","1.0",".",".",".",".",".",".",".",".","."
"575
Biology of Viruses","001","","41","2.813","26.8","12.2","24.4",".","22.0","7.3","4.9",".",".",".",".",".",".",".",".","2.4"
"609
Math Mthds for Systems Biology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"619
Adv Nutr: Metab-Macronutrients","001","","7","3.500",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","85.7","."
"620
Eukaryotic Molecular Biology","001","","39","3.329","20.5","33.3","35.9","5.1","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"625
Mechanisms-Vitamins & Minerals","001","","22","3.381","31.8","22.7","27.3","13.6",".",".",".",".",".",".",".",".",".",".","4.5","."
"665
Biophysical Chemistry","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"691
Senior Thesis","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"699","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
