"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"Ways of Knowing:Med&Society","152
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","46","3.793","87.0","2.2","4.3",".","4.3","2.2",".",".",".",".",".",".",".",".",".","."
"","002
210","91","3.863","87.9","5.5","2.2",".","4.4",".",".",".",".",".",".",".",".",".",".","."
"L&S Career Development","Course Total","137","3.839","87.6","4.4","2.9",".","4.4","0.7",".",".",".",".",".",".",".",".",".","."
"","250
001","15","3.903","80.0","6.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","002
250","16","3.919","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","14","3.956","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
250","16","3.843","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
250","14","3.774","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
006","17","3.895","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
007","13","3.933","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
008","12","3.964","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","14","3.828","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","131","3.890","81.7","12.2","5.3",".",".",".",".",".",".",".",".",".","0.8",".",".","."
"","260
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
002","11","3.727","90.9",".",".",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"Intrnshp in Liberal Arts & Sci","Course Total","23","3.870","95.7",".",".",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"Public Humanities","700
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"INTER-LS
502","Dept. Total","301","3.878","85.7","7.3","3.7",".","2.0","0.7",".",".",".",".",".",".","0.7",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","24","3.885","83.3","12.5",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","124","3.851","81.5","10.5","6.5",".",".","0.8",".",".",".",".",".",".","0.8",".",".","."
"Junior","","93","3.898","89.2","5.4","1.1",".","3.2","1.1",".",".",".",".",".",".",".",".",".","."
"Senior","","53","3.897","90.6","1.9","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","294","3.875","85.7","7.5","3.7",".","2.0","0.7",".",".",".",".",".",".","0.3",".",".","."
"Special","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","4","***","","","","","","","","","",".",".",".","25.0",".",".","."
"","Dept. Total","301","3.878","85.7","7.3","3.7",".","2.0","0.7",".",".",".",".",".",".","0.7",".",".","."
