"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","226
015","19","3.500","42.1","26.3","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Interm Lang Prac-","Course Total","248","3.728","62.1","24.6","11.7","0.8","0.4","0.4",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","001
260","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
001","18","3.417","33.3","38.9","16.7",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","311
002","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
003","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
311","21","3.600","33.3","47.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","4.8"
"","311
005","11","3.318","9.1","45.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
006","17","3.706","58.8","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","311
007","20","3.525","45.0","20.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","311
008","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
009","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","148","3.650","52.0","29.1","15.5","1.4","1.4",".",".",".",".",".",".",".",".",".",".","0.7"
"Topics in Span Lang Pract","319
001","21","3.833","76.2","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","21","3.429","28.6","33.3","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
320","24","3.771","70.8","20.8","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","320
003","24","3.563","62.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","69","3.594","55.1","21.7","15.9","1.4","5.8",".",".",".",".",".",".",".",".",".",".","."
"Structure of Modern Spanish","321
001","25","3.320","28.0","36.0","24.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","322
001","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
001","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","10","3.000","60.0","10.0",".","10.0",".",".","20.0",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","Course Total","27","3.574","77.8","7.4","3.7","3.7",".",".","7.4",".",".",".",".",".",".",".",".","."
"","001
325","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","25","3.875","84.0",".","12.0",".",".",".",".",".",".",".",".",".",".",".","4.0","."
"Advanced Conversation","Course Total","44","3.895","86.4","2.3","9.1",".",".",".",".",".",".",".",".",".",".",".","2.3","."
"","326
001","14","3.654","57.1","21.4","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","7.1"
"","002
326","12","3.727","50.0","33.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"","326
003","11","3.591","54.5","9.1","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","Course Total","37","3.657","54.1","21.6","16.2",".","2.7",".",".",".",".",".",".",".",".","2.7",".","2.7"
"Intro to Spanish Linguistics","001
327","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Applied Linguistics","331
001","23","3.761","69.6","17.4","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Business Area Study","359
001","19","3.889","78.9","10.5","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Spanish Civilization","361
001","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","363
001","21","3.825","66.7","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","4.8","."
"","002
363","23","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Amer Civilization","Course Total","44","3.860","75.0","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","2.3","."
"Lit de la Edad Med Castellana","414
001","13","3.769","84.6",".","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","50","3.600","42.0","42.0","12.0","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Culture and the Environment","445
001","13","3.731","69.2","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Spanish Linguistics","446
001","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literatura Hispanoamericana","460
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Amer Poetry & Essay","464
001","24","3.848","75.0","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","4.2"
"June 20, 2018","","","","","","","","","","","","","","","","","","Page 326 of 426",""
