"LANDSCAPE ARCHITECTURE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","",""
"History of Landscape Arch","260","001","","64","3.417","42.2","25.0","9.4","12.5","1.6","1.6","1.6","4.7","1.6",".",".",".",".",".",".","."
"Landscape Invntry&Eval Meth","262","001","","16","3.333","37.5","12.5","25.0","12.5","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"Graphics for Designers","312","002","","17","3.706","41.2","58.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Promoting Environments","321","002","","15","3.429","40.0","6.7","40.0","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"Housing and Urban Design","351","001","","10","3.833","60.0","30.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Landscape Arch Technology I","353","001","","14","3.571","35.7","50.0","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375","002","","12","3.417",".","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Open Space Planning&Design","451","001","","11","3.850","63.6","27.3",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Evolution-American Planning","463","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Project in Land Arc","551","001","","13","3.269","15.4","30.8","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Commun Restoratn&Mgmt","651","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Applictn of GIS:Natrl Rsrcs","695","001","","13","3.500","61.5","23.1","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Graduate Seminar","940","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
