"Directed Research","Course Total","38","",".",".",".",".",".",".",".","94.7","2.6",".","",".","",".","2.6",".",".","."
"","991
034","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","991
065","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Reading","Course Total","2","***","","","","","","","","","","","","","","","","","",""
"LAW
528","Dept. Total","2340","1.332","8.0","0.6","17.9","0.0","2.1","0.2","0.0","29.3","0.0",".","",".","",".","0.1",".","0.1","1.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","",""
"Senior","","5","***","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","","5","***","","","","","","","","","",".","",".","",".",".",".",".","."
"Special","","13","0.900","7.7","7.7","7.7",".",".","7.7",".","7.7",".",".","",".","",".",".",".",".","."
"Graduate","","18","3.580","33.3","50.0","5.6","5.6",".",".",".","5.6",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","694","1.227","6.8",".","29.7",".","3.0","0.1",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","600","1.222","8.2",".","9.7",".","1.3",".","0.2","44.0",".",".","",".","",".","0.2",".","0.3","1.7"
"Prof Yr 3","","839","1.406","6.4","0.1","14.2",".","1.9","0.1",".","46.5",".",".","",".","",".",".",".",".","1.4"
"Prof Yr 4","","171","1.648","16.4","0.6","19.3",".","2.9","0.6",".","17.0","0.6",".","",".","",".","1.2",".",".","0.6"
"Professionals","","2304","1.305","7.7","0.1","18.1",".","2.2","0.1","0.0","29.6","0.0",".","",".","",".","0.1",".","0.1","1.0"
"","Dept. Total","2340","1.332","8.0","0.6","17.9","0.0","2.1","0.2","0.0","29.3","0.0",".","",".","",".","0.1",".","0.1","1.0"
