"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","301
001","141","3.028","34.0","11.3","18.4","12.8","17.0","5.7","0.7",".",".",".",".",".",".",".",".","."
"","301
002","145","2.724","11.7","20.0","20.7","16.6","21.4","5.5","2.8","1.4",".",".",".",".",".",".",".","."
"","301
003","148","3.170","22.3","25.0","25.7","22.3","2.7",".","1.4",".",".",".",".",".","0.7",".",".","."
"Intro-Statistical Methods","Course Total","434","2.976","22.6","18.9","21.7","17.3","13.6","3.7","1.6","0.5",".",".",".",".","0.2",".",".","."
"Acc Intro to Stat Meth","001
302","77","3.182","39.0","7.8","29.9","10.4","7.8","3.9","1.3",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","309
001","52","3.288","38.5","21.2","9.6","25.0","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat II","310
001","58","3.750","75.9","12.1","5.2","3.4","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"","311
001","84","3.458","35.7","31.0","25.0","6.0","2.4",".",".",".",".",".",".",".",".",".",".","."
"","311
002","87","3.293","42.5","16.1","27.6","5.7","1.1","3.4","3.4",".",".",".",".",".",".",".",".","."
"","311
003","88","3.222","38.6","19.3","21.6","6.8","6.8","4.5","2.3",".",".",".",".",".",".",".",".","."
"Intro Math Sat (Theo, Meth) I","Course Total","259","3.322","39.0","22.0","24.7","6.2","3.5","2.7","1.9",".",".",".",".",".",".",".",".","."
"","312
001","57","3.920","91.2","1.8","3.5",".","1.8",".",".",".",".",".",".",".",".",".",".","1.8"
"","002
312","57","3.719","56.1","31.6","12.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo,Meth) II","Course Total","114","3.819","73.7","16.7","7.9",".","0.9",".",".",".",".",".",".",".",".",".",".","0.9"
"","324
001","128","3.488","61.7","11.7","7.8","12.5","3.1",".","3.1",".",".",".",".",".",".",".",".","."
"","324
002","133","3.549","60.9","18.0","7.5","7.5","3.0","0.8","2.3",".",".",".",".",".",".",".",".","."
"","324
003","129","3.194","31.0","20.2","24.8","15.5","4.7","2.3","1.6",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","Course Total","390","3.412","51.3","16.7","13.3","11.8","3.6","1.0","2.3",".",".",".",".",".",".",".",".","."
"","001
327","43","3.605","65.1","18.6","9.3",".","2.3","2.3","2.3",".",".",".",".",".",".",".",".","."
"","002
327","28","3.464","53.6","10.7","14.3","17.9","3.6",".",".",".",".",".",".",".",".",".",".","."
"","327
003","18","3.941","88.9",".","5.6",".",".",".",".",".","5.6",".",".",".",".",".",".","."
"","327
004","37","3.681","56.8","24.3","10.8","5.4",".",".",".","2.7",".",".",".",".",".",".",".","."
"","327
005","36","3.456","41.7","22.2","19.4","2.8","8.3",".",".","5.6",".",".",".",".",".",".",".","."
"","327
006","17","3.824","82.4","11.8",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","007
327","38","3.446","55.3","13.2","13.2","5.3","7.9",".","2.6","2.6",".",".",".",".",".",".",".","."
"","327
008","31","3.210","41.9","9.7","25.8","12.9","3.2","3.2","3.2",".",".",".",".",".",".",".",".","."
"","009
327","12","3.417","75.0",".","8.3",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","010
327","26","3.385","50.0","7.7","26.9","7.7","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Learning a Stat Lang","Course Total","286","3.523","57.7","14.0","14.3","5.6","3.8","1.7","1.0","1.4","0.3",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","71","3.331","31.0","36.6","19.7","4.2","4.2","2.8","1.4",".",".",".",".",".",".",".",".","."
"Introduction to Time Series","349
001","58","3.414","36.2","32.8","20.7","5.2","1.7","3.4",".",".",".",".",".",".",".",".",".","."
"Intro Nonparametric Stats","351
001","60","3.842","73.3","23.3","1.7","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","139","3.112","29.5","18.7","22.3","9.4","18.0","1.4","0.7",".",".",".",".",".",".",".",".","."
"","371
002","140","3.182","29.3","20.7","25.0","8.6","15.7","0.7",".",".",".",".",".",".",".",".",".","."
"","371
003","130","3.392","38.5","27.7","13.8","13.8","6.2",".",".",".",".",".",".",".",".",".",".","."
"","371
004","141","3.277","30.5","24.8","24.1","10.6","9.9",".",".",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","550","3.238","31.8","22.9","21.5","10.5","12.5","0.5","0.2",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design","424
001","61","3.557","37.7","39.3","19.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","431
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","6","3.167","33.3","33.3",".",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computational Statistics","471
001","29","3.828","75.9","17.2","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","475
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","Page 329 of 426",""
