"EGR","","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"M E
612","Dept. Total","2734","3.352","34.6","23.0","21.1","8.7","4.0","1.0","0.4","4.0","0.0","0.0","",".","2.6","0.4","0.0","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","51","3.300","41.2","15.7","17.6","11.8","3.9","5.9","2.0",".",".",".","",".",".","2.0",".",".","."
"Sophomore","","203","3.448","42.4","20.7","21.7","11.8","1.5","1.5",".",".",".",".","",".",".","0.5",".",".","."
"Junior","","672","3.268","35.0","22.5","25.1","11.2","3.9","1.5","0.6",".",".",".","",".",".","0.3",".",".","."
"Senior","","1393","3.352","34.7","27.6","23.0","8.4","5.0","0.7","0.2","0.1",".",".","",".",".","0.1",".",".","."
"Undergraduates","","2319","3.336","35.6","25.3","23.4","9.6","4.4","1.1","0.3","0.1",".",".","",".",".","0.3",".",".","."
"Special","","49","2.977","28.6","14.3","22.4","16.3","4.1","4.1","6.1",".",".",".","",".",".","2.0","2.0",".","."
"Graduate","","425","3.633","39.1","8.5","5.4","2.1","1.4",".",".","25.2","0.2","0.2","",".","16.7","0.7",".","0.5","."
"","Dept. Total","2793","3.352","36.0","22.5","20.7","8.6","3.9","1.0","0.4","3.9","0.0","0.0","",".","2.5","0.4","0.0","0.1","."
