"PORTUGUESE (SPANISH & POR Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","",""
"","102","001","","8","3.063","25.0","12.5","37.5",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","102","002","","11","3.455","54.5","9.1","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"2nd Semester Portuguese","","Course Total","","19","3.289","42.1","10.5","26.3","5.3","15.8",".",".",".",".",".",".",".",".",".",".","."
"4th Semester Portuguese","202","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Luso-Brazilian Lits","221","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","226","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","312","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Brazillian Women Writers","450","001","","13","3.375","46.2",".","23.1","23.1",".",".",".","7.7",".",".",".",".",".",".",".","."
"Directed Study","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Brazilian Literature","751","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"PORTUG
782","","Dept. Total","","57","3.467","49.1","10.5","17.5","7.0","7.0",".",".","8.8",".",".",".",".",".",".",".","."
