"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","840
003","20","3.650","35.0","60.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
010","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
011","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
840","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
020","17","3.618","35.3","52.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
021","18","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","134","3.754","56.7","37.3","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","842
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","842
031","15","3.968","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consultatn&Suprvsn-Soc Work","Course Total","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crises Intervention-Soc Wrk","854
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","870
001","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","870
010","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessing and Treating Adults","Course Total","35","3.957","91.4","8.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thesis-Research","890
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Family Violence","923
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
002","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
010","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
011","13","3.385","61.5","15.4",".","15.4",".",".","7.7",".",".",".",".",".",".",".",".","."
"","929
020","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work & Substance Abuse","Course Total","76","3.809","77.6","17.1","1.3","2.6",".",".","1.3",".",".",".",".",".",".",".",".","."
"Student Research Seminar","947
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Proseminar","951
001","7","3.583","14.3","71.4",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"PhD Proseminar","952
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","14","",".",".",".",".",".",".",".","92.9",".",".",".","7.1",".",".",".","."
"","999
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
