"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Intro to American Law","601
001","10","1.100","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Sources","602
001","9","1.000",".",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Procedure I","714
001","47","0.915","2.1",".","27.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","715
001","37","1.324","10.8",".","27.0",".","2.7","2.7",".",".",".",".",".",".",".",".",".","."
"","715
003","38","1.500","15.8",".","23.7",".","7.9",".",".",".",".",".",".",".",".",".",".","."
"Torts I","Course Total","75","1.413","13.3",".","25.3",".","5.3","1.3",".",".",".",".",".",".",".",".",".","."
"Contracts II","721
001","24","0.976","8.3",".","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","18","1.333",".",".","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","19","1.368",".",".","42.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","723
003","20","0.300",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
723","19","0.789",".",".","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
005","17","1.765",".",".","58.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
006","18","1.167","5.6",".","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","723
007","20","1.250","5.0",".","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
008","19","1.053",".",".","31.6",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","150","1.113","1.3",".","34.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","724
001","89","1.247","9.0",".","25.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","724
002","73","1.438","12.3",".","28.8",".","4.1",".",".",".",".",".",".",".",".",".",".","."
"Property","Course Total","162","1.333","10.5",".","27.2",".","4.9",".",".",".",".",".",".",".",".",".",".","."
"","725
001","48","1.064","12.5",".","16.7",".","2.1",".",".","2.1",".",".",".",".",".",".",".","."
"","002
725","64","1.694","6.3",".","45.3",".","1.6",".",".","3.1",".",".",".",".",".",".",".","."
"Intro to Criminal Procedure","Course Total","112","1.422","8.9",".","33.0",".","1.8",".",".","2.7",".",".",".",".",".",".",".","."
"","731
001","73","1.188","13.7",".","16.4",".","6.8",".",".",".",".",".",".",".",".",".",".","."
"","002
731","76","1.082","1.3",".","32.9",".",".",".",".","3.9",".",".",".",".",".",".",".","."
"Constitutional Law I","Course Total","149","1.135","7.4",".","24.8",".","3.4",".",".","2.0",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","21","1.789","23.8",".","19.0",".","4.8",".",".","9.5",".",".",".",".",".",".",".","."
"Constitutional Law II","001
740","42","1.289","7.1",".","26.2",".","4.8",".",".","9.5",".",".",".",".",".",".",".","."
"","743
001","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","743
002","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Negotiations","Course Total","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Administrative Law","001
744","29","0.900","6.9","3.4","10.3",".","3.4",".",".","13.8",".",".",".",".",".",".",".","."
"Trademarks","749
001","10","2.120","20.0",".","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Health Advocacy","768
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","771
001","59","0.982","11.9",".","8.5",".","10.2",".",".","5.1",".",".",".",".",".",".",".","."
"","002
771","14","1.143","14.3",".","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","771
003","15","1.200","6.7",".","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Estate Planning","Course Total","88","1.021","11.4",".","12.5",".","9.1",".",".","3.4",".",".",".",".",".",".",".","."
"Islamic Law & Jurisprudence","001
785","14","1.857","14.3",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence","801
001","75","1.480","13.3",".","12.0",".","4.0","1.3",".","33.3",".",".",".",".",".",".",".","."
"Civil Procedure II","802
001","43","1.087","11.6",".","16.3",".","4.7",".",".","2.3",".",".",".",".",".",".",".","."
"Advanced Legal Writing","808
001","10","0.600",".",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
001","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
002","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","Page 341 of 426",""
