"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"Intro-Combinatorics","Course Total","","8","2.750","25.0","12.5","25.0","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"479","001","","46","3.467","43.5","32.6","10.9","8.7","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"479","002","","42","4.000","97.6",".",".",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Spec Topics in Stats","Course Total","","88","3.855","69.3","17.0","5.7","4.5","1.1",".","1.1","1.1",".",".",".",".",".",".",".","."
"542
Intro to Clinical Trials I","003","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","58","3.491","31.0","32.8","32.8",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"602
Statistical Methods II","001","","44","3.432","34.1","31.8","31.8",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"610","001","","20","3.600","35.0","55.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"610","002","","42","3.583","40.5","38.1","19.0","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","Course Total","","62","3.589","38.7","43.5","14.5","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"628
Data Science Practicum","001","","46","3.446","17.4","56.5","23.9","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"632","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"632","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","","10","3.550","70.0","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"641
Stat Mthds for Clin Trials","001","","17","3.265","29.4","41.2","17.6",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"679","001","","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"679","002","","13","3.750","53.8","30.8","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Special Topics in Statistics","Course Total","","34","3.848","70.6","23.5","2.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"682","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","242","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","262","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","299","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"698
Directed Study","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","299","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"710
Mathematical Statistics","001","","22","3.523","40.9","27.3","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"726
Nonlinear Optimization I","001","","8","2.938","12.5","12.5","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"732
Lg Sample Thry-Stat Inference","001","","26","3.923","92.3","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"734
Theory of Probability II","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"768
Stat Mthds-Medical Image Anlys","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"771
Statistical Computing","001","","34","3.956","91.2","8.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775
Intro-Bayesian Decisn&Cntrl","001","","26","3.760","65.4","15.4","15.4",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"850
Thry&Appl-Regres&Anal VarII","001","","27","3.630","51.9","22.2","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","102","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 330 of 426",""
