"ENGLISH AS A SECOND LANGU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"","118
017","15","3.700","66.7","6.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","018
118","15","3.700","66.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
019","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
020","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
021","14","3.571","42.9","42.9","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","118
022","14","3.714","64.3","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","118
023","15","3.567","53.3","13.3","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
024","12","3.375","50.0","8.3","25.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","118
025","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","026
118","12","3.333","33.3","50.0","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","027
118","12","3.625","50.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","118
028","14","3.393","14.3","57.1","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","118
029","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
030","12","2.792","33.3","16.7","16.7","8.3","8.3",".","16.7",".",".",".",".",".",".",".",".","."
"","118
031","15","3.733","60.0","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
032","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
033","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
034","15","3.667","53.3","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
035","12","3.000","41.7","16.7","25.0",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Academic Writing II","Course Total","486","3.624","55.3","27.8","10.7","3.7","1.2",".","1.2",".",".",".",".",".",".",".",".","."
"Oral Communication Skills","343
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Acad Present. and Discussion","344
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","345
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","345
002","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"American English Pronunciation","Course Total","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","349
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","349
002","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Academic Writing for Grads","Course Total","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
