"COMPARATIVE BIOSCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","",""
"502
Molec & Metabolic Basis of Med","001","","96","3.232","32.3","14.6","31.3","10.4","9.4","1.0",".",".",".",".",".",".","1.0",".",".","."
"505
Vet Neuroanatomy&Neurophys","001","","96","3.495","43.8","18.8","30.2","4.2","2.1",".",".",".",".",".",".",".","1.0",".",".","."
"506
Veterinary Physiology B","001","","96","3.458","29.2","40.6","24.0","2.1","3.1",".",".",".",".",".",".",".","1.0",".",".","."
"550
Anat-Lrge Domestic Animals","001","","96","3.479","43.8","18.8","29.2","6.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"555
Veterinary Toxicology","001","","87","3.195","26.4","19.5","32.2","12.6","8.0","1.1",".",".",".",".",".",".",".",".",".","."
"556
Veterinary Pharmacology","001","","87","3.184","26.4","16.1","39.1","6.9","10.3","1.1",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","27","3.931","96.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","001","","19","4.000","5.3",".",".",".",".",".",".","89.5",".",".",".",".",".",".","5.3","."
"775","002","","16","",".",".",".",".",".",".",".","87.5",".",".",".",".",".",".","12.5","."
"775","003","","11","",".",".",".",".",".",".",".","90.9",".",".",".",".",".",".","9.1","."
"775","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","51","4.000","2.0",".",".",".",".",".",".","88.2",".",".",".",".",".",".","9.8","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
