"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"Med Term-Greek&Latin Origin","205
001","163","3.360","39.3","25.2","16.6","11.7","3.1","1.8","1.2",".",".",".",".",".","1.2",".",".","."
"Art & Archaeology-Ancient Rome","304
001","14","3.143","42.9","7.1","14.3","7.1","28.6",".",".",".",".",".",".",".",".",".",".","."
"The Romans","322
001","88","3.594","44.3","34.1","11.4","5.7","1.1",".",".","2.3",".",".",".",".",".",".",".","1.1"
"Gendr&Sexualty-Classcl Wrld","351
001","62","3.508","53.2","16.1","16.1","6.5","4.8","1.6",".",".",".",".",".",".","1.6",".",".","."
"Classical Mythology","370
001","200","3.409","42.5","16.0","22.0","7.5","3.5","1.0","1.0","5.5",".",".",".",".","1.0",".",".","."
"Topics in Classical Culture","373
001","49","3.523","46.9","14.3","22.4","2.0","2.0","2.0",".",".",".",".",".",".",".",".","10.2","."
"Biblical Archaeology","451
001","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Smr:Classicl Wrld","591
001","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","Course Total","14","3.967","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art & Archaeology-Ancient Rome","704
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Hist of Philosophy","830
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CLASSICS
244","Dept. Total","612","3.453","44.9","21.4","17.2","7.4","3.4","1.1","0.7","2.1",".",".",".",".","0.8",".","0.8","0.2"
